-----------------------------------------------------
name band level PQR   lambda      f           gamma
A-X   11    0     R   1263.433    1.800E-4    1.000E9
A-X   11    1     Q   1263.494    9.000E-5    1.000E9
A-X   11    1     R   1263.409    9.000E-5    1.000E9
A-X   11    2     P   1263.617    1.800E-5    1.000E9
A-X   11    2     Q   1263.532    9.000E-5    1.000E9
A-X   11    2     R   1263.403    7.200E-5    1.000E9
A-X   11    3     P   1263.716    2.571E-5    1.000E9
A-X   11    3     Q   1263.587    8.999E-5    1.000E9
A-X   11    3     R   1263.416    6.429E-5    1.000E9
A-X   11    4     P   1263.833    2.999E-5    1.000E9
A-X   11    4     Q   1263.661    8.999E-5    1.000E9
A-X   11    4     R   1263.447    6.000E-5    1.000E9
A-X   11    5     P   1263.968    3.271E-5    1.000E9
A-X   11    5     Q   1263.754    8.998E-5    1.000E9
A-X   11    5     R   1263.498    5.727E-5    1.000E9
A-X   11    6     P   1264.123    3.460E-5    1.000E9
A-X   11    6     Q   1263.866    8.997E-5    1.000E9
A-X   11    6     R   1263.567    5.538E-5    1.000E9
A-X   12    0     R   1246.059    9.000E-5    1.000E9
A-X   12    1     Q   1246.119    4.500E-5    1.000E9
A-X   12    1     R   1246.036    4.500E-5    1.000E9
A-X   12    2     P   1246.238    8.999E-6    1.000E9
A-X   12    2     Q   1246.156    4.500E-5    1.000E9
A-X   12    2     R   1246.033    3.600E-5    1.000E9
A-X   12    3     P   1246.335    1.285E-5    1.000E9
A-X   12    3     Q   1246.212    4.500E-5    1.000E9
A-X   12    3     R   1246.049    3.214E-5    1.000E9
A-X   12    4     P   1246.451    1.500E-5    1.000E9
A-X   12    4     Q   1246.288    4.499E-5    1.000E9
A-X   12    4     R   1246.084    3.000E-5    1.000E9
A-X   12    5     P   1246.586    1.636E-5    1.000E9
A-X   12    5     Q   1246.383    4.499E-5    1.000E9
A-X   12    5     R   1246.137    2.864E-5    1.000E9
A-X   12    6     P   1246.741    1.730E-5    1.000E9
A-X   12    6     Q   1246.495    4.499E-5    1.000E9
A-X   12    6     R   1246.209    2.769E-5    1.000E9
A-X   13    0     R   1229.668    3.469E-5    1.000E9
A-X   13    1     Q   1229.726    1.735E-5    1.000E9
A-X   13    1     R   1229.647    1.735E-5    1.000E9
A-X   13    2     P   1229.842    3.469E-6    1.000E9
A-X   13    2     Q   1229.764    1.735E-5    1.000E9
A-X   13    2     R   1229.648    1.388E-5    1.000E9
A-X   13    3     P   1229.938    4.955E-6    1.000E9
A-X   13    3     Q   1229.822    1.734E-5    1.000E9
A-X   13    3     R   1229.667    1.239E-5    1.000E9
A-X   13    4     P   1230.055    5.780E-6    1.000E9
A-X   13    4     Q   1229.899    1.734E-5    1.000E9
A-X   13    4     R   1229.704    1.156E-5    1.000E9
A-X   13    5     P   1230.190    6.305E-6    1.000E9
A-X   13    5     Q   1229.995    1.734E-5    1.000E9
A-X   13    5     R   1229.761    1.104E-5    1.000E9
A-X   13    6     P   1230.344    6.668E-6    1.000E9
A-X   13    6     Q   1230.110    1.734E-5    1.000E9
A-X   13    6     R   1229.838    1.067E-5    1.000E9
A-X   14    0     R   1214.227    1.439E-5    1.000E9
A-X   14    1     Q   1214.283    7.195E-6    1.000E9
A-X   14    1     R   1214.211    7.196E-6    1.000E9
A-X   14    2     P   1214.397    1.439E-6    1.000E9
A-X   14    2     Q   1214.325    7.195E-6    1.000E9
A-X   14    2     R   1214.213    5.756E-6    1.000E9
A-X   14    3     P   1214.495    2.055E-6    1.000E9
A-X   14    3     Q   1214.383    7.195E-6    1.000E9
A-X   14    3     R   1214.232    5.140E-6    1.000E9
A-X   14    4     P   1214.610    2.398E-6    1.000E9
A-X   14    4     Q   1214.459    7.194E-6    1.000E9
A-X   14    4     R   1214.273    4.797E-6    1.000E9
A-X   14    5     P   1214.743    2.615E-6    1.000E9
A-X   14    5     Q   1214.556    7.194E-6    1.000E9
A-X   14    5     R   1214.332    4.579E-6    1.000E9
A-X   14    6     P   1214.896    2.766E-6    1.000E9
A-X   14    6     Q   1214.673    7.193E-6    1.000E9
A-X   14    6     R   1214.410    4.427E-6    1.000E9
A-X   15    0     R   1199.678    5.896E-6    1.000E9
A-X   15    1     Q   1199.734    2.951E-6    1.000E9
A-X   15    1     R   1199.665    2.945E-6    1.000E9
A-X   15    2     P   1199.844    5.896E-7    1.000E9
A-X   15    2     Q   1199.775    2.948E-6    1.000E9
A-X   15    2     R   1199.671    2.351E-6    1.000E9
A-X   15    3     P   1199.941    8.413E-7    1.000E9
A-X   15    3     Q   1199.837    2.945E-6    1.000E9
A-X   15    3     R   1199.694    2.085E-6    1.000E9
A-X   15    4     P   1200.059    9.795E-7    1.000E9
A-X   15    4     Q   1199.915    2.936E-6    1.000E9
A-X   15    4     R   1199.742    1.898E-6    1.000E9
A-X   15    5     P   1200.192    1.061E-6    1.000E9
A-X   15    5     Q   1200.014    2.924E-6    1.000E9
A-X   15    5     R   1199.814    1.343E-6    1.000E9
A-X   15    6     P   1200.351    1.094E-6    1.000E9
A-X   15    6     Q   1200.137    2.891E-6    1.000E9
A-X   15    6     R   1199.876    1.692E-6    1.000E9
A-X   16    0     R   1185.995    2.462E-6    1.000E9
A-X   16    1     Q   1186.049    1.231E-6    1.000E9
A-X   16    1     R   1185.980    1.231E-6    1.000E9
A-X   16    2     P   1186.157    2.462E-7    1.000E9
A-X   16    2     Q   1186.088    1.231E-6    1.000E9
A-X   16    2     R   1185.988    9.849E-7    1.000E9
A-X   16    3     P   1186.251    3.517E-7    1.000E9
A-X   16    3     Q   1186.151    1.231E-6    1.000E9
A-X   16    3     R   1186.014    8.793E-7    1.000E9
A-X   16    4     P   1186.367    4.102E-7    1.000E9
A-X   16    4     Q   1186.230    1.231E-6    1.000E9
A-X   16    4     R   1186.060    8.207E-7    1.000E9
A-X   16    5     P   1186.501    4.475E-7    1.000E9
A-X   16    5     Q   1186.330    1.231E-6    1.000E9
A-X   16    5     R   1186.127    7.833E-7    1.000E9
A-X   16    6     P   1186.655    4.732E-7    1.000E9
A-X   16    6     Q   1186.452    1.231E-6    1.000E9
A-X   16    6     R   1186.214    7.575E-7    1.000E9
A-X   17    0     R   1173.159    1.021E-6    1.000E9
A-X   17    1     Q   1173.212    5.103E-7    1.000E9
A-X   17    1     R   1173.149    5.103E-7    1.000E9
A-X   17    2     P   1173.317    1.021E-7    1.000E9
A-X   17    2     Q   1173.255    5.103E-7    1.000E9
A-X   17    2     R   1173.153    4.083E-7    1.000E9
A-X   17    3     P   1173.413    1.458E-7    1.000E9
A-X   17    3     Q   1173.312    5.103E-7    1.000E9
A-X   17    3     R   1173.184    3.645E-7    1.000E9
A-X   17    4     P   1173.524    1.701E-7    1.000E9
A-X   17    4     Q   1173.396    5.102E-7    1.000E9
A-X   17    4     R   1173.234    3.402E-7    1.000E9
A-X   17    5     P   1173.661    1.855E-7    1.000E9
A-X   17    5     Q   1173.498    5.102E-7    1.000E9
A-X   17    5     R   1173.305    3.247E-7    1.000E9
A-X   17    6     P   1173.816    1.962E-7    1.000E9
A-X   17    6     Q   1173.623    5.101E-7    1.000E9
A-X   17    6     R   1173.394    3.140E-7    1.000E9
A-X   18    0     R   1161.157    4.304E-7    1.000E9
A-X   18    1     Q   1161.209    2.152E-7    1.000E9
A-X   18    1     R   1161.147    2.152E-7    1.000E9
A-X   18    2     P   1161.313    4.303E-8    1.000E9
A-X   18    2     Q   1161.251    2.152E-7    1.000E9
A-X   18    2     R   1161.160    1.722E-7    1.000E9
A-X   18    3     P   1161.406    6.147E-8    1.000E9
A-X   18    3     Q   1161.316    2.152E-7    1.000E9
A-X   18    3     R   1161.171    1.537E-7    1.000E9
A-X   18    4     P   1161.523    7.171E-8    1.000E9
A-X   18    4     Q   1161.378    2.152E-7    1.000E9
A-X   18    4     R   1161.233    1.435E-7    1.000E9
A-X   18    5     P   1161.638    7.822E-8    1.000E9
A-X   18    5     Q   1161.492    2.151E-7    1.000E9
A-X   18    5     R   1161.309    1.369E-7    1.000E9
A-X   18    6     P   1161.804    8.272E-8    1.000E9
A-X   18    6     Q   1161.620    2.151E-7    1.000E9
A-X   18    6     R   1161.405    1.324E-7    1.000E9
A-X   19    0     R   1149.983    1.835E-7    1.000E9
A-X   19    1     Q   1150.034    9.174E-8    1.000E9
A-X   19    1     R   1149.975    9.175E-8    1.000E9
A-X   19    2     P   1150.135    1.835E-8    1.000E9
A-X   19    2     Q   1150.077    9.174E-8    1.000E9
A-X   19    2     R   1149.988    7.340E-8    1.000E9
A-X   19    3     P   1150.229    2.621E-8    1.000E9
A-X   19    3     Q   1150.141    9.173E-8    1.000E9
A-X   19    3     R   1150.024    6.553E-8    1.000E9
A-X   19    4     P   1150.344    3.057E-8    1.000E9
A-X   19    4     Q   1150.227    9.173E-8    1.000E9
A-X   19    4     R   1150.080    6.116E-8    1.000E9
A-X   19    5     P   1150.481    3.335E-8    1.000E9
A-X   19    5     Q   1150.334    9.172E-8    1.000E9
A-X   19    5     R   1150.158    5.838E-8    1.000E9
A-X   19    6     P   1150.640    3.527E-8    1.000E9
A-X   19    6     Q   1150.463    9.171E-8    1.000E9
A-X   19    6     R   1150.258    5.645E-8    1.000E9
A-X   20    0     R   1139.694    8.010E-8    1.000E9
A-X   20    1     Q   1139.744    4.005E-8    1.000E9
A-X   20    1     R   1139.687    4.005E-8    1.000E9
A-X   20    2     P   1139.843    8.009E-9    1.000E9
A-X   20    2     Q   1139.787    4.005E-8    1.000E9
A-X   20    2     R   1139.704    3.204E-8    1.000E9
A-X   20    3     P   1139.937    1.144E-8    1.000E9
A-X   20    3     Q   1139.854    4.005E-8    1.000E9
A-X   20    3     R   1139.741    2.861E-8    1.000E9
A-X   20    4     P   1140.053    1.335E-8    1.000E9
A-X   20    4     Q   1139.941    4.004E-8    1.000E9
A-X   20    4     R   1139.803    2.670E-8    1.000E9
A-X   20    5     P   1140.191    1.456E-8    1.000E9
A-X   20    5     Q   1140.053    4.004E-8    1.000E9
A-X   20    5     R   1139.886    2.548E-8    1.000E9
A-X   20    6     P   1140.353    1.540E-8    1.000E9
A-X   20    6     Q   1140.186    4.004E-8    1.000E9
A-X   20    6     R   1139.991    2.464E-8    1.000E9
A-X   21    0     R   1130.336    3.578E-8    1.000E9
A-X   21    1     Q   1130.385    1.789E-8    1.000E9
A-X   21    1     R   1130.335    1.789E-8    1.000E9
A-X   21    2     P   1130.484    3.577E-9    1.000E9
A-X   21    2     Q   1130.434    1.789E-8    1.000E9
A-X   21    2     R   1130.355    1.431E-8    1.000E9
A-X   21    3     P   1130.581    5.110E-9    1.000E9
A-X   21    3     Q   1130.503    1.789E-8    1.000E9
A-X   21    3     R   1130.398    1.278E-8    1.000E9
A-X   21    4     P   1130.699    5.961E-9    1.000E9
A-X   21    4     Q   1130.595    1.789E-8    1.000E9
A-X   21    4     R   1130.465    1.192E-8    1.000E9
A-X   21    5     P   1130.841    6.502E-9    1.000E9
A-X   21    5     Q   1130.710    1.788E-8    1.000E9
A-X   21    5     R   1130.553    1.138E-8    1.000E9
A-X   21    6     P   1131.005    6.876E-9    1.000E9
A-X   21    6     Q   1130.848    1.788E-8    1.000E9
A-X   21    6     R   1130.666    1.101E-8    1.000E9
A-X   22    0     R   1122.074    1.625E-8    1.000E9
A-X   22    1     Q   1122.122    8.126E-9    1.000E9
A-X   22    1     R   1122.074    8.127E-9    1.000E9
A-X   22    2     P   1122.219    1.625E-9    1.000E9
A-X   22    2     Q   1122.171    8.126E-9    1.000E9
A-X   22    2     R   1122.099    6.501E-9    1.000E9
A-X   22    3     P   1122.317    2.321E-9    1.000E9
A-X   22    3     Q   1122.245    8.125E-9    1.000E9
A-X   22    3     R   1122.149    5.804E-9    1.000E9
A-X   22    4     P   1122.438    2.708E-9    1.000E9
A-X   22    4     Q   1122.342    8.125E-9    1.000E9
A-X   22    4     R   1122.223    5.417E-9    1.000E9
A-X   22    5     P   1122.585    2.954E-9    1.000E9
A-X   22    5     Q   1122.465    8.124E-9    1.000E9
A-X   22    5     R   1122.321    5.170E-9    1.000E9
A-X   22    6     P   1122.755    3.124E-9    1.000E9
A-X   22    6     Q   1122.612    8.123E-9    1.000E9
A-X   22    6     R   1122.444    4.999E-9    1.000E9
A-X   23    0     R   1115.104    7.881E-9    1.000E9
A-X   23    1     Q   1115.151    3.940E-9    1.000E9
A-X   23    1     R   1115.108    3.940E-9    1.000E9
A-X   23    2     P   1115.247    0.788E-9    1.000E9
A-X   23    2     Q   1115.203    3.940E-9    1.000E9
A-X   23    2     R   1115.145    3.152E-9    1.000E9
A-X   23    3     P   1115.347    1.126E-9    1.000E9
A-X   23    3     Q   1115.288    3.940E-9    1.000E9
A-X   23    3     R   1115.214    2.814E-9    1.000E9
A-X   23    4     P   1115.480    1.313E-9    1.000E9
A-X   23    4     Q   1115.406    3.939E-9    1.000E9
