lambda,Aki,fik,Acc,Ei,Ek,Type,
1135.578,2.2e+07,2.9e-03,D,2837.9807,90898.878,,
1137.684,1.6e+07,3.1e-03,E,21251.5833,109149.611,,
1138.037,1.0e+07,1.9e-03,D,2430.1369,90300.628,,
1138.177,7.e+07,1.3e-02,E,21711.8963,109571.639,,
1138.625,5.5e+07,1.1e-02,D+,384.7872,88209.461,,
1138.941,1.3e+07,2.4e-03,D,2837.9807,90638.823,,
1139.199,1.2e+07,2.3e-03,D,3117.4877,90898.878,,
1140.406,6.e+07,1.5e-02,E,20830.5534,108518.643,,
1140.785,1.3e+07,2.6e-03,D,22810.3459,110469.101,,
1141.067,5.e+06,1.2e-03,D,2430.1369,90067.357,,
1141.170,1.3e+07,2.5e-03,D,22939.3512,110568.558,,
1142.311,4.7e+07,1.2e-02,D+,667.6829,88209.461,,
1142.361,2.6e+07,4.0e-03,D+,0.0000,87537.646,,
1142.464,1.1e+07,2.9e-03,D,22939.3512,110469.101,,
1142.759,2.2e+07,3.5e-03,D,22637.1950,110144.841,,
1143.120,4.5e+07,7.e-03,E,22810.3459,110290.739,,
1143.150,4.1e+07,8.e-03,E,21251.5833,108729.162,,
1143.220,1.0e+08,1.9e-02,D+,0.0000,87471.789,,
1143.279,4.1e+07,5.e-03,D,22939.3512,110406.879,,
1144.046,1.7e+07,4.5e-03,D,20830.5534,108239.375,,
1144.268,1.0e+08,1.9e-02,D+,667.6829,88059.304,,
1144.433,4.5e+07,9.e-03,E,21430.3564,108809.810,,
1144.491,2.0e+07,3.9e-03,D,23031.2829,110406.879,,
1144.673,2.1e+07,2.7e-03,D,20830.5534,108191.894,,
1144.739,2.2e+07,5.e-03,E,22810.3459,110166.534,,
1144.926,3.5e+08,8.3e-02,B,0.0000,87340.882,,
1145.476,1.5e+07,3.0e-03,D,20830.5534,108130.542,,
1145.508,2.0e+07,2.6e-03,D,667.6829,87965.137,,
1145.641,4.4e+07,9.e-03,E,21581.6151,108868.956,,
1146.361,7.e+07,1.1e-02,E,21251.5833,108483.877,,
1146.830,5.6e+07,1.7e-02,D+,862.6118,88059.304,,
1146.904,2.3e+07,4.5e-03,D,21812.0454,109003.621,,
