lambda,Aki,fik,Acc,Ei,Ek,Type,
2659.8811,5.6e+06,4.5e-03,D+,73016.184,110611.830,,
2660.455,1.3e+06,1.6e-03,D+,66012.775,103600.428,,
2660.623,7.e+05,6.e-04,D,65580.065,103165.320,,
2660.623,6.6e+06,8.e-03,D+,66589.042,104174.285,,
2661.0264,3.2e+07,2.7e-02,D+,60989.444,98568.907,,
2661.518,3.2e+06,2.3e-03,D,67000.530,104572.924,,
2661.7938,2.8e+06,3.0e-03,D+,67000.530,104569.226,,
2662.5623,4.0e+07,3.5e-02,C+,60887.606,98445.410,,
2662.6258,1.9e+07,2.0e-02,D+,73054.913,110611.830,,
2662.7282,2.8e+07,2.9e-02,D+,66248.647,103804.125,,
2662.8247,1.2e+07,1.3e-02,D+,73016.184,110570.312,,
2663.3485,1.3e+08,1.4e-01,D+,47626.110,85172.826,,
2664.0179,8.e+06,6.4e-03,D+,66672.336,104209.618,,
2664.0523,3.6e+07,5.1e-02,D+,62151.554,99688.355,,
2664.5192,1.1e+07,9.e-03,D+,62158.126,99688.355,,
2664.9923,1.3e+06,1.6e-03,D+,26352.7671,63876.325,,
2665.0515,9.9e+07,1.32e-01,C+,54904.241,92426.967,,
2665.240,8.e+06,1.0e-02,D+,66672.336,104192.487,,
2665.45599,1.91e+08,2.54e-01,B+,27314.9183,64831.951,,
2665.948,4.7e+05,5.e-04,D,66463.542,103973.782,,
2666.1172,1.2e+07,1.6e-02,D+,62065.528,99573.244,,
2666.204,2.0e+06,2.1e-03,D,67000.530,104507.058,,
2666.33325,8.6e+07,1.07e-01,B+,60625.446,98130.136,,
2666.894,1.2e+06,1.5e-03,D,66377.315,103874.261,,
2667.42865,1.87e+08,2.65e-01,B+,27620.4033,65109.691,,
2667.4756,5.2e+07,6.9e-02,C+,60956.781,98445.410,,
2667.5439,5.9e+07,7.6e-02,C+,60807.239,98294.909,,
2667.7053,1.7e+06,2.7e-03,D,25787.5816,63272.981,,
2667.8533,1.8e+07,1.0e-02,D+,67273.833,104757.143,,
2668.01141,1.02e+08,1.63e-01,C+,47389.809,84870.911,,
2668.1827,3.0e+06,2.5e-03,D+,73091.630,110570.312,,
2668.314,2.6e+06,2.8e-03,D+,63272.981,100749.825,,
2668.4095,2.3e+07,3.2e-02,D+,61093.406,98568.907,,
2669.0410,6.5e+06,8.e-03,D+,66411.712,103878.370,,
2669.3262,5.4e+07,2.9e-02,D+,67273.833,104736.462,,
2669.4138,9.e+06,8.e-03,D+,65363.607,102824.994,,
2669.7027,4.0e+07,3.7e-02,C+,60837.560,98294.909,,
2669.80149,8.3e+07,8.8e-02,C+,60989.444,98445.410,,
2670.7269,5.2e+07,1.1e-01,D+,49100.956,86543.902,,
2671.1783,6.0e+06,9.e-03,D+,38164.220,75600.900,,
2671.827,2.3e+06,3.7e-03,D,54902.286,92329.905,,
2671.868,4.4e+06,4.7e-03,D+,73143.346,110570.312,,
2671.965,7.e+05,5.e-04,D,54904.241,92329.905,,
2672.1859,6.5e+07,1.4e-01,D+,47626.110,85048.655,,
2672.7164,8.8e+07,9.4e-02,C+,62158.126,99573.244,,
2672.8062,5.1e+06,4.1e-03,D+,72651.914,110065.766,,
2672.93351,9.1e+07,9.7e-02,C+,61156.827,98568.907,,
2673.028,2.0e+06,1.8e-03,D+,66463.542,103874.261,,
2673.27486,9.2e+07,9.9e-02,C+,60887.606,98294.909,,
2673.3421,6.7e+07,4.8e-02,D+,73054.913,110461.272,,
2673.7790,4.1e+06,3.7e-03,D+,67516.328,104916.552,,
2674.218,1.0e+06,1.3e-03,D,66377.315,103771.342,,
2674.720,1.9e+06,1.0e-03,D,57493.333,94880.585,,
2674.888,1.8e+06,2.4e-03,D+,66589.042,103973.782,,
2675.3527,1.1e+06,1.2e-03,D,54904.241,92282.470,,
2675.816,1.5e+06,2.5e-03,D,54902.286,92274.123,,
2675.9181,2.5e+07,2.0e-02,D+,66672.336,104042.692,,
2676.2357,2.0e+07,2.1e-02,D+,62322.445,99688.355,,
2677.2186,3.9e+06,3.5e-03,D+,67516.328,104868.522,,
2677.6747,8.6e+07,6.2e-02,C,54870.541,92216.391,,
2677.867,3.7e+06,3.2e-03,D+,65696.053,103039.222,,
2678.6244,2.1e+07,1.8e-02,D+,66589.042,103921.637,,
2679.6820,4.2e+06,5.6e-03,D+,69606.567,106924.441,,
2679.959,1.8e+07,2.0e-02,D+,66672.336,103986.338,,
2680.4047,2.6e+07,2.3e-02,D+,66463.542,103771.342,,
2680.5724,1.4e+07,1.8e-02,D+,60989.444,98294.909,,
2681.0285,1.10e+07,1.58e-02,C,46967.4751,84266.594,,
2681.413,1.3e+06,1.4e-03,D,69606.567,106900.373,,
2681.49896,9.3e+07,1.00e-01,B+,60837.560,98130.136,,
2681.599,8.e+05,7.e-04,D,25981.6451,63272.981,,
2681.6203,3.6e+07,3.3e-02,C+,67516.328,104807.215,,
2681.666,2.1e+06,1.8e-03,D+,68000.785,105291.014,,
2681.7862,1.2e+07,1.7e-02,D+,61156.827,98445.410,,
2681.8197,2.0e+07,2.1e-02,D+,66463.542,103751.672,,
2681.8401,1.1e+08,1.2e-01,D+,49100.956,86388.786,,
2682.0274,2.0e+07,2.1e-02,D+,66589.042,103874.261,,
2682.836,2.4e+06,5.e-03,D,73187.318,110461.272,,
2683.205,3.7e+05,4.0e-04,D,65556.271,102824.994,,
2683.3068,9.2e+07,1.24e-01,C+,54904.241,92171.690,,
2683.7926,7.3e+07,1.18e-01,C+,49506.922,86767.614,,
2683.8299,3.8e+06,3.1e-03,D+,69606.567,106866.770,,
2683.880,9.e+06,1.2e-02,D+,72130.375,109389.879,,
2684.5058,1.9e+07,2.5e-02,D+,62322.445,99573.244,,
2684.5715,3.2e+06,4.6e-03,D+,69650.481,106900.373,,
2685.102,1.9e+06,2.4e-03,D+,60887.606,98130.136,,
2685.2252,8.e+06,6.2e-03,D+,65931.358,103172.173,,
2685.55059,1.57e+08,2.12e-01,B+,30764.4737,68000.785,,
2685.757,6.4e+05,6.9e-04,C,25428.7893,62662.252,,
2686.333,3.5e+06,3.0e-03,D+,66589.042,103814.552,,
2686.626,3.2e+06,3.5e-03,D+,65363.607,102584.984,,
2686.7613,1.9e+06,1.7e-03,D+,66463.542,103683.078,,
2686.9035,9.e+05,1.0e-03,D,26055.4120,63272.981,,
2687.01467,1.33e+08,1.26e-01,B+,71432.690,108648.712,,
2687.1853,1.6e+06,1.2e-03,D,27620.4033,64834.069,,
2687.2836,2.4e+07,3.2e-02,D+,54904.241,92116.529,,
2687.7489,2.1e+07,2.3e-02,D+,66411.712,103617.577,,
2688.4486,5.8e+06,4.2e-03,D+,69650.481,106846.649,,
2688.792,2.6e+06,1.4e-03,D,66612.659,103804.125,,
2688.9878,3.1e+07,2.9e-02,C+,66411.712,103600.428,,
2691.018,1.1e+06,1.1e-03,D,69606.567,106767.226,,
2692.5353,5.0e+06,4.4e-03,C+,25805.3270,62945.045,,
2692.940,6.3e+06,6.9e-03,D+,62689.874,99824.051,,
2693.3167,4.5e+07,4.9e-02,C+,65696.053,102824.994,,
2693.40080,1.40e+08,1.83e-01,B+,30388.5451,67516.328,,
2693.6330,1.64e+06,1.34e-03,C+,7955.3186,45079.9019,,
2693.8039,2.5e+07,2.1e-02,D+,68000.785,105123.005,,
2694.2023,5.8e+06,8.e-03,D+,69650.481,106767.226,,
2694.281,3.2e+06,4.3e-03,D+,69606.567,106722.187,,
2694.6554,4.2e+06,3.5e-03,D+,27314.9183,64425.405,,
2694.8463,7.1e+07,7.7e-02,C+,65931.358,103039.222,,
2694.9831,3.6e+07,4.6e-02,C+,67516.328,104622.308,,
2695.04863,1.24e+08,1.35e-01,C+,60402.333,97507.414,,
2695.8610,9.4e+07,1.03e-01,C+,66078.272,103172.173,,
2696.9231,3.8e+07,8.e-02,D+,61035.285,98114.577,,
2697.3921,5.9e+07,4.3e-02,D+,61041.734,98114.577,,
2698.1306,2.5e+07,2.7e-02,D+,36126.412,73189.114,,
2698.2613,1.65e+08,9.0e-02,C+,36126.412,73187.318,,
2698.59831,1.28e+08,1.12e-01,C+,61512.630,98568.907,,
2699.0859,3.4e+07,2.8e-02,D+,73016.184,110065.766,,
2699.6259,7.e+05,8.e-04,D,67000.530,104042.692,,
2699.750,5.9e+06,1.0e-02,D+,49506.922,86547.427,,
2699.986,6.2e+07,6.8e-02,D+,49506.922,86543.902,,
2700.181,2.1e+06,2.3e-03,D,47389.809,84424.422,,
2700.4237,8.e+06,8.e-03,D+,71432.690,108463.918,,
2700.772,1.9e+06,1.7e-03,D+,66012.775,103039.222,,
2701.15697,8.7e+07,6.3e-02,C+,61093.406,98114.577,,
2702.34334,1.18e+08,1.29e-01,B+,65580.065,102584.984,,
2703.2078,1.5e+07,1.3e-02,D+,68000.785,104993.879,,
2703.815,2.3e+06,3.8e-03,D,66612.659,103597.409,,
2704.79076,1.38e+08,1.51e-01,B+,27314.9183,64286.354,,
2705.3792,1.1e+06,1.3e-03,D,25981.6451,62945.045,,
2705.5579,2.5e+07,3.7e-02,D+,66078.272,103039.222,,
2705.6676,6.4e+07,3.5e-02,D+,62962.215,99921.670,,
2705.887,2.7e+06,2.9e-03,D,62962.215,99918.563,,
2706.8810,6.6e+06,7.3e-03,D+,62125.604,99068.465,,
2707.6219,1.4e+07,1.5e-02,D+,61512.630,98445.410,,
2707.7166,1.3e+08,7.2e-02,D+,62125.604,99057.089,,
2707.93544,8.3e+07,1.38e-01,C+,36126.412,73054.913,,
2708.381,7.2e+06,5.9e-03,D+,73143.346,110065.766,,
2708.467,8.e+05,1.2e-03,D,67000.530,103921.637,,
2708.8024,4.7e+06,5.2e-03,D+,73091.630,110008.310,,
2709.2198,2.3e+07,2.1e-02,D+,62662.252,99573.244,,
2709.5254,1.1e+06,8.e-04,D,26055.4120,62962.215,,
2709.85892,3.9e+07,6.4e-02,D+,25787.5816,62689.874,,
2710.1817,2.8e+05,2.04e-04,C+,8391.9554,45289.8248,,
2710.4947,4.1e+07,5.6e-02,C+,65931.358,102824.994,,
2710.7284,1.3e+06,1.9e-03,D,36252.931,73143.346,,
2710.789,1.4e+05,2.1e-04,E,26055.4120,62945.045,,
2710.8404,6.4e+07,8.5e-02,C+,65696.053,102584.984,,
2711.566,5.9e+06,4.9e-03,D+,62945.045,99824.051,,
2711.7412,8.e+06,1.4e-02,D+,73189.114,110065.766,,
2712.64509,4.4e+07,5.6e-02,C+,25428.7893,62293.177,,
2713.10005,1.17e+08,1.08e-01,B+,61587.205,98445.410,,
2713.1944,1.29e+07,1.71e-02,C+,25805.3270,62662.252,,
2713.952,1.2e+06,1.7e-03,D,73054.913,109901.523,,
2714.4437,9.3e+07,1.37e-01,C+,71964.750,108804.711,,
2715.21710,5.7e+07,4.7e-02,B+,7955.3186,44784.7859,,
2716.408,4.4e+05,6.e-04,D,33501.2957,70314.624,,
2716.4895,7.2e+07,8.0e-02,C+,66012.775,102824.994,,
2717.02199,1.15e+08,1.27e-01,C+,27620.4033,64425.405,,
2717.239,2.8e+06,3.1e-03,D+,36252.931,73054.913,,
2717.36944,2.0e+06,2.2e-03,D,57411.086,94211.383,,
2717.5057,1.02e+05,1.1e-04,C,7955.3186,44753.8179,,
2717.768,1.5e+06,1.3e-03,D,66377.315,103172.173,,
2718.362,6.1e+06,9.e-03,D+,50142.811,86929.664,,
2718.67902,1.51e+08,1.47e-01,B+,61347.566,98130.136,,
2718.7341,7.5e+07,8.e-02,D+,61332.753,98114.577,,
2718.7747,2.8e+06,3.1e-03,D+,42658.2444,79439.496,,
2719.4465,1.18e+08,1.05e-01,C+,50157.475,86929.664,,
2719.635,1.5e+06,1.7e-03,D,73637.285,110406.879,,
2719.80775,1.09e+08,1.04e-01,B+,61527.610,98294.909,,
2720.0034,3.3e+07,4.5e-02,C+,68000.785,104765.459,,
2720.1070,4.4e+07,6.6e-02,C+,36252.931,73016.184,,
2721.158,7.e+05,1.0e-03,D,73395.831,110144.841,,
2721.258,4.4e+06,4.9e-03,D+,71964.750,108712.415,,
2721.5841,3.7e+07,4.1e-02,D+,62945.045,99688.355,,
2722.6198,5.1e+06,4.7e-03,D+,25428.7893,62158.126,,
2722.8688,1.42e+07,1.58e-02,C+,27314.9183,64040.891,,
2723.5473,8.2e+07,1.21e-01,C+,50212.836,86929.664,,
2724.184,6.e+05,5.e-04,D,25981.6451,62689.874,,
2724.2244,2.3e+07,2.5e-02,D+,61587.205,98294.909,,
2725.405,1.2e+06,2.0e-03,D,50075.921,86767.614,,
2725.5025,1.2e+07,1.3e-02,D+,72169.004,108859.487,,
2725.69087,9.6e+06,1.07e-02,B,8391.9554,45079.9019,,
2725.915,3.1e+06,3.5e-03,D,47674.728,84359.779,,
2726.4501,5.1e+06,5.7e-03,D+,71964.750,108642.450,,
2727.0730,7.7e+07,1.30e-01,C+,72043.060,108712.415,,
2727.3247,5.0e+06,7.4e-03,D+,27620.4033,64286.354,,
2727.6268,4.7e+07,5.2e-02,C+,66377.315,103039.222,,
2728.19076,3.1e+07,2.9e-02,C+,25428.7893,62083.118,,
2728.34651,9.38e+07,6.98e-02,B+,8391.9554,45044.1916,,
2728.525,2.7e+07,3.0e-02,D+,66522.310,103172.173,,
2728.7402,1.5e+06,1.7e-03,D,43238.6066,79885.523,,
2729.5506,2.4e+07,2.0e-02,D+,73016.184,109652.241,,
2729.7130,1.25e+07,1.75e-02,C+,27314.9183,63948.803,,
2730.1368,5.7e+07,7.9e-02,C+,62945.045,99573.244,,
2730.388,1.0e+07,1.2e-02,D+,50142.811,86767.614,,
2730.6802,3.7e+07,2.8e-02,D+,72238.564,108859.487,,
2731.5076,3.6e+07,4.0e-02,C+,70314.624,106924.441,,
2731.54242,2.79e+07,3.13e-02,B,8680.4706,45289.8248,,
2732.0522,2.9e+07,3.3e-02,C+,61527.610,98130.136,,
2732.0897,8.e+05,7.e-04,D,69606.567,106208.574,,
2732.2876,2.0e+06,3.4e-03,D,72043.060,108642.450,,
2732.8169,7.1e+06,6.3e-03,C+,26352.7671,62945.045,,
2733.2567,9.8e+04,1.10e-04,B,1872.5998,38458.9934,,
2733.695,6.e+05,9.e-04,D,66522.310,103102.849,,
2733.7485,9.5e+07,8.0e-02,C+,50187.822,86767.614,,
2734.3157,3.6e+07,4.8e-02,C+,66012.775,102584.984,,
2735.2650,4.9e+07,8.e-02,D+,66612.659,103172.173,,
2735.6197,3.6e+07,4.0e-02,D+,50212.836,86767.614,,
2735.8979,4.0e+07,4.5e-02,D+,63272.981,99824.051,,
2736.2299,6.2e+07,4.6e-02,D+,73054.913,109601.572,,
2737.2073,8.e+06,9.e-03,D+,73091.630,109625.216,,
2737.2966,1.5e+06,3.4e-03,D,26932.7348,63465.134,,
2737.77570,1.22e+08,6.9e-02,B,8680.4706,45206.4704,,
2739.4739,7.0e+06,8.e-03,D+,62065.528,98568.907,,
2739.7232,2.8e+07,3.8e-02,C+,72130.375,108630.427,,
2739.7391,1.47e+08,1.24e-01,C+,66672.336,103172.173,,
2739.8553,1.0e+08,5.7e-02,D+,72169.004,108667.282,,
2739.9151,2.1e+06,2.3e-03,D,72429.675,108927.126,,
2740.2297,5.2e+07,5.9e-02,D+,72169.004,108662.300,,
2740.3216,4.6e+06,5.2e-03,D+,26170.1810,62662.252,,
2740.35778,2.21e+08,2.49e-01,B+,7955.3186,44446.9051,,
2740.792,4.6e+06,4.2e-03,D+,62083.118,98568.907,,
2741.092,1.4e+06,1.9e-03,D,73143.346,109625.216,,
2741.6905,6.2e+07,7.0e-02,C+,72238.564,108712.415,,
2742.128,2.1e+07,2.4e-02,D+,50075.921,86543.902,,
2742.2049,2.0e+07,2.3e-02,D+,27620.4033,64087.408,,
2742.4953,5.2e+07,8.9e-02,C+,73189.114,109652.241,,
2743.2859,5.0e+07,5.7e-02,C+,72352.046,108804.711,,
2743.2859,5.e+05,5.e-04,D,70314.624,106767.226,,
2743.4705,1.36e+08,1.23e-01,B+,66589.042,103039.222,,
2743.5359,5.8e+07,1.3e-01,D+,72212.989,108662.300,,
2743.6585,4.9e+07,7.0e-02,C+,66377.315,102824.994,,
2744.00802,1.97e+08,4.5e-01,B+,8846.7837,45289.8248,,
2744.0303,9.e+07,5.2e-02,D+,42401.3198,78844.031,,
2745.005,1.3e+06,2.9e-03,D,72429.675,108859.487,,
2745.4623,7.2e+07,5.4e-02,D+,72238.564,108662.300,,
2745.7059,3.6e+06,5.5e-03,C+,27620.4033,64040.891,,
2745.753,1.3e+06,1.4e-03,D,57411.086,93830.961,,
2746.0924,5.3e+07,8.0e-02,C+,63272.981,99688.355,,
2746.1772,4.5e+07,1.0e-01,D+,73187.318,109601.572,,
2746.311,1.4e+07,1.6e-02,D+,73189.114,109601.572,,
2746.6841,1.0e+07,1.1e-02,D+,70314.624,106722.187,,
2746.907,5.e+05,7.e-04,D,64087.408,100492.025,,
2746.907,9.e+05,1.0e-03,D,50142.811,86547.427,,
2746.9372,1.1e+08,1.2e-01,D+,42439.8511,78844.031,,
2747.061,5.e+06,2.8e-03,D,72524.561,108927.126,,
2747.1683,9.6e+07,7.2e-02,C+,50142.811,86543.902,,
2747.29571,2.05e+08,3.48e-01,B+,8680.4706,45079.9019,,
2747.3303,1.4e+07,2.1e-02,D+,36252.931,72651.914,,
2747.79399,1.69e+08,1.91e-01,B+,8391.9554,44784.7859,,
2747.93398,1.07e+08,8.1e-02,C+,42334.8444,78725.822,,
2748.2363,5.3e+07,7.1e-02,C+,72261.742,108648.712,,
2748.773,7.5e+06,6.4e-03,D+,58666.199,95046.177,,
2748.773,3.7e+05,5.e-04,D,62065.528,98445.410,,
2748.8694,1.31e+08,9.9e-02,C+,62689.874,99068.465,,
2749.0138,1.8e+07,2.0e-02,D+,70523.694,106900.373,,
2749.762,5.9e+06,6.7e-03,D+,66672.336,103039.222,,
2749.99360,1.21e+08,1.37e-01,B+,8680.4706,45044.1916,,
2750.13420,2.16e+08,3.27e-01,B+,8391.9554,44753.8179,,
2750.16551,1.29e+08,1.22e-01,B+,66463.542,102824.994,,
2750.2473,8.3e+07,7.1e-02,C+,72352.046,108712.415,,
2750.29874,1.16e+08,1.32e-01,B,8846.7837,45206.4704,,
2750.8190,1.8e+06,2.1e-03,D+,25805.3270,62158.126,,
2751.7285,1.0e+06,1.1e-03,D,25981.6451,62322.445,,
2751.93847,2.9e+07,3.3e-02,D+,25787.5816,62125.604,,
2752.196,2.7e+06,3.1e-03,D+,50212.836,86547.427,,
2752.257,1.0e+06,8.e-04,D,38164.220,74498.093,,
2752.919,9.e+06,8.e-03,D+,50157.475,86482.560,,
2752.96402,7.7e+07,8.8e-02,C+,42401.3198,78725.822,,
2753.846,1.1e+08,6.0e-02,D+,50075.921,86388.786,,
2754.10128,1.89e+08,2.58e-01,C,26352.7671,62662.252,,
2754.5734,6.e+06,3.7e-03,D,36126.412,72429.675,,
2755.70273,1.21e+08,1.04e-01,C+,42237.0575,78525.442,,
2755.8864,1.3e+07,3.1e-02,D+,42439.8511,78725.822,,
2756.060,2.0e+06,2.2e-03,D,38214.503,74498.093,,
2756.55069,2.15e+08,3.06e-01,B,7955.3186,44232.5398,,
2756.9772,2.3e+06,1.7e-03,D,36252.931,72524.561,,
2757.3255,7.3e+06,1.1e-02,D+,26055.4120,62322.445,,
2757.8450,8.1e+06,7.4e-03,B,25805.3270,62065.528,,
2758.900,3.3e+06,3.7e-03,D+,62322.445,98568.907,,
2759.1119,1.3e+07,1.4e-02,D+,70523.694,106767.226,,
2759.382,6.3e+06,4.8e-03,D+,72619.499,108859.487,,
2759.5645,1.2e+08,1.3e-01,D+,72429.675,108667.282,,
2759.688,3.3e+06,3.8e-03,D+,66589.042,102824.994,,
2760.1487,3.e+04,3.e-05,E,2430.1369,38660.0537,,
2760.2940,1.1e+08,1.3e-01,D+,62829.071,99057.089,,
2761.5315,5.7e+06,8.e-03,D+,62083.118,98294.909,,
2761.9981,7.8e+07,8.9e-02,C+,64286.354,100492.025,,
2762.2649,1.4e+07,1.8e-02,D+,72261.742,108463.918,,
2762.62867,1.38e+07,3.2e-02,B,8846.7837,45044.1916,,
2763.0822,5.8e+06,9.e-03,D+,67000.530,103191.968,,
2763.1487,6.0e+07,6.9e-02,C+,42334.8444,78525.442,,
2763.2635,3.3e+06,2.5e-03,D,26055.4120,62244.515,,
2763.360,2.8e+06,4.8e-03,D+,72524.561,108712.415,,
2764.372,1.0e+06,1.7e-03,D,61332.753,97507.414,,
2764.4721,1.34e+08,1.32e-01,B+,66411.712,102584.984,,
2764.7300,2.9e+06,2.5e-03,D+,25981.6451,62151.554,,
2764.8013,1.0e+07,1.2e-02,D+,69606.567,105775.517,,
2764.9720,2.5e+06,2.4e-03,D+,67516.328,103683.078,,
2765.607,1.1e+06,1.3e-03,D,25428.7893,61587.205,,
2765.94463,1.47e+08,1.35e-01,B+,72650.698,108804.711,,
2766.0396,3.7e+07,4.2e-02,C+,72651.914,108804.711,,
2766.053,3.3e+05,5.e-04,D,66672.336,102824.994,,
2766.238,4.2e+06,3.9e-03,D+,73751.276,109901.523,,
2766.321,1.0e+06,9.e-04,D,33501.2957,69650.481,,
2766.8081,1.0e+08,6.0e-02,D+,72524.561,108667.282,,
2767.010,5.e+05,5.e-04,D,33466.4943,69606.567,,
2767.1895,6.0e+07,6.9e-02,D+,72524.561,108662.300,,
2767.2650,3.2e+06,4.4e-03,D+,62158.126,98294.909,,
2768.2324,8.e+06,1.3e-02,D+,42401.3198,78525.442,,
2768.32945,1.47e+08,1.35e-01,B+,42114.8380,78237.709,,
2769.0297,1.7e+07,2.9e-02,D+,74498.093,110611.830,,
2769.1502,2.7e+06,4.7e-03,D+,36126.412,72238.564,,
2769.6039,4.0e+07,4.6e-02,D+,62962.215,99068.465,,
2769.7520,4.8e+06,8.2e-03,B,8680.4706,44784.7859,,
2769.9702,6.6e+06,9.e-03,D+,25981.6451,62083.118,,
2770.1502,1.0e+07,1.5e-02,D+,36252.931,72352.046,,
2770.1734,2.07e+07,2.8e-02,C+,25428.7893,61527.610,,
2770.6270,5.3e+07,6.1e-02,C+,72619.499,108712.415,,
2770.6515,8.7e+07,8.3e-02,C+,67516.328,103608.921,,
2771.115,7.1e+06,4.1e-03,D+,36126.412,72212.989,,
2771.3233,4.08e+06,3.92e-03,C,25428.7893,61512.630,,
2772.0028,4.3e+06,6.0e-03,D+,30388.5451,66463.542,,
2772.3697,1.9e+06,1.4e-03,D,26055.4120,62125.604,,
2772.940,1.7e+06,1.9e-03,D,72043.060,108105.938,,
2773.1170,9.0e+07,7.8e-02,C+,72651.914,108712.415,,
2773.542,1.1e+05,1.6e-04,E,8391.9554,44446.9051,,
2774.4793,8.6e+07,6.6e-02,C+,72619.499,108662.300,,
2775.5049,2.7e+07,6.3e-02,D+,26932.7348,62962.215,,
2776.0062,2.3e+06,2.6e-03,D+,72619.499,108642.450,,
2776.108,4.8e+06,4.6e-03,D+,73603.537,109625.216,,
2776.169,1.5e+04,1.7e-05,E,2837.9807,38858.9696,,
2776.745,6.6e+06,8.e-03,D+,72352.046,108365.344,,
2776.9975,2.7e+06,4.1e-03,B,26055.4120,62065.528,,
2777.6432,5.6e+06,5.6e-03,D+,62293.177,98294.909,,
2777.7274,4.1e+07,4.7e-02,C+,42237.0575,78237.709,,
2778.7082,1.0e+06,1.0e-03,D,26170.1810,62158.126,,
2779.1133,9.5e+07,8.8e-02,C+,68000.785,103983.496,,
2779.366,2.3e+06,2.6e-03,D+,54232.201,90211.613,,
2779.864,3.2e+05,4.5e-04,D,68000.785,103973.782,,
2780.1200,1.00e+08,9.3e-02,C+,26352.7671,62322.445,,
2780.6019,1.5e+07,2.3e-02,D+,74606.864,110570.312,,
2780.7270,2.6e+07,5.9e-02,D+,37227.277,73189.114,,
2780.8642,3.3e+07,3.8e-02,D+,37227.277,73187.318,,
2783.902,6.e+05,6.e-04,D,68000.785,103921.637,,
2784.221,1.4e+06,1.7e-03,D,36126.412,72043.060,,
2784.295,8.e+05,1.3e-03,D,64834.069,100749.825,,
2784.5117,1.06e+08,1.02e-01,B+,26170.1810,62083.118,,
2784.787,1.9e+06,2.2e-03,D,31364.4554,67273.833,,
2785.0970,3.4e+06,8.e-03,D+,31368.453,67273.833,,
2785.2924,2.6e+06,4.0e-03,D+,42334.8444,78237.709,,
2785.6436,2.7e+07,4.7e-02,D+,67273.833,103172.173,,
2786.0137,1.53e+08,1.48e-01,C+,41968.0698,77861.650,,
2788.041,4.0e+06,3.1e-03,D+,72238.564,108105.938,,
2788.0627,1.8e+07,1.6e-02,D+,42658.2444,78525.442,,
2790.427,2.9e+05,3.4e-04,D,62293.177,98130.136,,
2790.8680,9.0e+07,7.0e-02,C+,64087.408,99918.563,,
2791.006,1.9e+06,2.3e-03,D,48039.109,83868.450,,
2791.381,2.1e+06,3.1e-03,D+,30764.4737,66589.042,,
2791.8270,6.e+05,6.e-04,D,26352.7671,62171.624,,
2792.467,5.e+05,5.e-04,D,54232.201,90042.804,,
2793.788,1.8e+06,2.1e-03,D+,54273.656,90067.357,,
2794.0654,5.1e+06,4.0e-03,D+,36252.931,72043.060,,
2794.1917,3.3e+07,3.8e-02,D+,73016.184,108804.711,,
2794.6109,9.4e+07,8.3e-02,C+,64040.891,99824.051,,
2794.6109,2.6e+06,2.5e-03,D+,62662.252,98445.410,,
2794.7110,1.3e+07,1.8e-02,D+,25805.3270,61587.205,,
2794.7526,1.59e+08,1.40e-01,C+,61726.069,97507.414,,
2796.594,8.e+05,7.e-04,D,30764.4737,66522.310,,
2797.4529,2.0e+07,2.4e-02,C,42114.8380,77861.650,,
2798.0205,1.03e+08,9.7e-02,C+,63948.803,99688.355,,
2798.252,2.4e+06,2.9e-03,D+,64087.408,99824.051,,
2798.7414,3.2e+06,3.8e-03,D+,26352.7671,62083.118,,
2799.8294,2.1e+07,2.1e-02,D+,73966.843,109683.303,,
2799.9708,2.4e+07,2.3e-02,D+,72650.698,108365.344,,
2800.1172,1.55e+07,1.46e-02,B,26352.7671,62065.528,,
2800.199,2.4e+06,2.9e-03,D+,36252.931,71964.750,,
2800.549,5.e+05,6.e-04,D,25805.3270,61512.630,,
2800.794,3.8e+06,4.5e-03,D+,70314.624,106018.682,,
2801.3611,9.3e+07,9.1e-02,C+,63876.325,99573.244,,
2802.3089,5.6e+06,4.9e-03,D+,70523.694,106208.574,,
2804.2547,1.30e+08,1.22e-01,B+,64831.951,100492.025,,
2804.625,3.4e+06,3.4e-03,D+,73969.761,109625.216,,
2804.8484,1.6e+06,1.9e-03,D,27620.4033,63272.981,,
2805.8230,1.39e+08,1.23e-01,C+,65109.691,100749.825,,
2805.948,9.e+06,1.3e-02,D+,73751.276,109389.879,,
2806.144,2.5e+06,4.5e-03,D+,31364.4554,67000.530,,
2806.6154,3.2e+06,3.8e-03,C+,27314.9183,62945.045,,
2808.002,1.2e+06,1.4e-03,D,31387.9788,67000.530,,
2808.350,1.7e+06,2.1e-03,D+,68000.785,103608.921,,
2808.426,1.8e+06,2.1e-03,D+,54283.236,89890.396,,
2810.263,6.7e+06,8.e-03,D+,69650.481,105234.246,,
2810.610,3.1e+07,3.7e-02,C,42658.2444,78237.709,,
2811.421,7.e+05,6.e-04,D,73143.346,108712.415,,
2812.0985,1.2e+06,1.2e-03,D,25428.7893,60989.444,,
2813.3239,2.9e+06,3.5e-03,D,25787.5816,61332.753,,
2813.909,6.3e+06,5.6e-03,D+,64286.354,99824.051,,
2814.336,5.e+05,8.e-04,D,64040.891,99573.244,,
2814.4456,3.40e+06,5.0e-03,C,25981.6451,61512.630,,
2815.056,2.2e+06,3.9e-03,D+,73189.114,108712.415,,
2815.608,5.2e+06,6.1e-03,D+,69606.567,105123.005,,
2817.309,2.5e+06,3.7e-03,D+,70523.694,106018.682,,
