nu,a,elower,gp,gpp,statep,statepp,nu-err,nu-ref
2.392382,1.649e-09,103.373,152,168,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=9;K=3;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=10;K=1;rovibSym=E1,5,569
2.425355,1.233e-12,676.124,232,232,ElecStateLabel=X;v12=1;J=14;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=12;rovibSym=E1,5,569
2.427712,2.562e-11,25.254,56,72,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=3;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=0;rovibSym=E1,5,569
2.440567,2.683e-09,159.009,216,200,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=1;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=3;rovibSym=E1,5,569
2.447738,4.649e-08,527.08,408,392,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=25;K=0;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=24;K=3;rovibSym=E2,5,569
2.452916,7.669e-08,917.326,392,376,ElecStateLabel=X;v12=1;J=24;K=7;rovibSym=A+,ElecStateLabel=X;v12=1;J=23;K=8;rovibSym=A+,5,569
2.452916,7.669e-08,917.326,392,376,ElecStateLabel=X;v12=1;J=24;K=7;rovibSym=A-,ElecStateLabel=X;v12=1;J=23;K=8;rovibSym=A-,5,569
2.453168,6.168e-12,266.838,120,136,ElecStateLabel=X;v12=1;J=7;K=3;rovibSym=E2,ElecStateLabel=X;v12=1;J=8;K=0;rovibSym=E1,5,569
2.461099,1.114e-09,716.859,312,312,ElecStateLabel=X;v12=1;J=19;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=19;K=6;rovibSym=E1,5,569
2.463012,1.491e-06,296.077,152,168,ElecStateLabel=X;v12=1;J=9;K=1;rovibSym=A-,ElecStateLabel=X;v12=1;J=10;K=2;rovibSym=A-,5,569
2.466228,5.224e-13,653.588,216,216,ElecStateLabel=X;v12=1;J=13;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=12;rovibSym=E1,5,569
2.470307,5.785e-11,732.73,392,376,ElecStateLabel=X;v12=1;J=24;K=2;rovibSym=E2,ElecStateLabel=X;v12=1;J=23;K=3;rovibSym=E1,5,569
2.497411,7.599e-08,809.018,328,344,ElecStateLabel=X;v12=1;J=20;K=8;rovibSym=A+,ElecStateLabel=X;v12=1;J=21;K=7;rovibSym=A+,5,569
2.497411,7.599e-08,809.018,328,344,ElecStateLabel=X;v12=1;J=20;K=8;rovibSym=A-,ElecStateLabel=X;v12=1;J=21;K=7;rovibSym=A-,5,569
2.504863,1.576e-13,632.659,200,200,ElecStateLabel=X;v12=1;J=12;K=9;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=12;rovibSym=E1,5,569
2.518921,5.877e-07,230.426,216,232,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=5;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=4;rovibSym=E2,5,569
2.519853,7.358e-08,311.735,88,104,ElecStateLabel=X;v12=1;J=5;K=3;rovibSym=E1,ElecStateLabel=X;v12=1;J=6;K=2;rovibSym=E1,5,569
2.524218,2.063e-08,155.578,216,216,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=1;rovibSym=A+,5,569
2.53321,6.504e-07,430.505,328,312,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=20;K=5;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=19;K=6;rovibSym=E1,5,569
2.540666,3.952e-11,49.349,104,104,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=2;rovibSym=E1,5,569
2.540681,1.869e-11,39.665,88,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=2;rovibSym=E1,5,569
2.540693,7.195e-14,20.3,40,40,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=2;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=2;K=2;rovibSym=E1,5,569
