obs_wl_vac(A)|Aki(s^-1)|Acc|Ei(cm-1)|Ek(cm-1)|conf_i|term_i|J_i|conf_k|term_k|J_k|Type|
2442.87267|7.5e+07|C+|65931.358|106866.770|3d6.(3G).4p|x 4G*|7/2|3d6.(3F2).4d|4F|5/2||
2442.9418|1.3e+07|D+|64286.354|105220.610|3d6.(3F2).4p|z 2F*|7/2|3d6.(3H).4d|4F|7/2||
2443.11597|2.75e+08|B+|64831.951|105763.286|3d6.(3F2).4p|y 2G*|9/2|3d6.(3F2).4d|2H|11/2||
2443.3280|3.5e+06|D+|50142.811|91070.566|3d6.(3F1).4s|c 4F|5/2|3d6.(5D).5p|4F*|5/2||
2443.4383|4.6e+06|D+|44753.8179|85679.755|3d6.(5D).4p|z 4F*|7/2|3d6.(5D).4d|e 4G|5/2||
2443.8027|5.1e+07|D+|69650.481|110570.312|3d6.(3G).4p|y 2F*|5/2|3d6.(3G).4d|2F|7/2||
2444.45038|1.44e+08|C+|65109.691|106018.682|3d6.(3F2).4p|y 2G*|7/2|3d6.(3H).4d|2H|9/2||
2444.4853|4.0e+06|D|66522.310|107430.742|3d6.(3G).4p|x 4F*|5/2|3d6.(3F2).4d|2D|3/2||
2444.5746|2.8e+07|D+|42401.3198|83308.241|3d6.(5D).4p|z 6F*|3/2|3d6.(5D).4d|e 6F|5/2||
2444.6650|1.6e+07|D+|50142.811|91048.225|3d6.(3F1).4s|c 4F|5/2|3d6.(3P1).5p|4P*|3/2||
2445.0206|4.9e+07|D+|42237.0575|83136.508|3d6.(5D).4p|z 6F*|7/2|3d6.(5D).4d|e 6F|7/2||
2445.25589|2.78e+08|B+|20830.5534|61726.069|3d6.(3P2).4s|b 4P|5/2|3d6.(3P2).4p|y 4D*|7/2||
2445.2873|1.9e+07|D+|44784.7859|85679.755|3d6.(5D).4p|z 4D*|5/2|3d6.(5D).4d|e 4G|5/2||
2445.4640|6.5e+06|D+|64425.405|105317.400|3d6.(3F2).4p|z 2F*|5/2|3d6.(3P2).4d|2P|3/2||
2445.6376|2.7e+07|D+|63876.325|104765.459|3d6.(3F2).4p|y 4G*|11/2|3d6.(3H).4d|2I|11/2||
2445.84710|2.03e+08|B+|41968.0698|82853.704|3d6.(5D).4p|z 6F*|11/2|3d6.(5D).4d|e 6F|11/2||
2445.85455|4.4e+07|D+|66522.310|107407.818|3d6.(3G).4p|x 4F*|5/2|3d6.(3F2).4d|2D|5/2||
2446.31393|2.07e+08|C+|21812.0454|62689.874|3d6.(3P2).4s|b 4P|3/2|3d6.(3P2).4p|y 4D*|5/2||
2446.53648|1.23e+08|C+|31364.4554|72238.564|3d6.(3D).4s|b 4D|3/2|3d6.(3D).4p|w 4F*|5/2||
2446.6865|1.7e+07|D+|67516.328|108387.934|3d6.(3G).4p|y 2H*|11/2|3d6.(3G).4d|4H|11/2||
2446.85139|1.06e+08|C+|31483.1979|72352.046|3d6.(3D).4s|b 4D|7/2|3d6.(3D).4p|w 4F*|7/2||
2446.9614|1.7e+06|D|25805.3270|66672.336|3d6.(3G).4s|a 4G|9/2|3d6.(3G).4p|y 4H*|7/2||
2447.06248|2.6e+07|D+|65931.358|106796.679|3d6.(3G).4p|x 4G*|7/2|3d6.(5D).5d|4P|5/2||
2447.14894|1.00e+08|C+|42114.8380|82978.717|3d6.(5D).4p|z 6F*|9/2|3d6.(5D).4d|e 6F|9/2||
2447.1942|3.2e+06|D|64425.405|105288.559|3d6.(3F2).4p|z 2F*|5/2|3d6.(5D).5d|6G|3/2||
2447.21237|3.0e+07|C+|21430.3564|62293.177|3d6.(3H).4s|a 4H|11/2|3d6.(3H).4p|z 2I*|13/2||
2447.5176|7.1e+06|D+|50212.836|91070.566|3d6.(3P1).4s|c 4P|5/2|3d6.(5D).5p|4F*|5/2||
2447.94530|1.15e+08|C+|31387.9788|72238.564|3d6.(3D).4s|b 4D|5/2|3d6.(3D).4p|w 4F*|5/2||
2448.06825|2.6e+08|C+|31364.4554|72212.989|3d6.(3D).4s|b 4D|3/2|3d6.(3D).4p|w 4P*|1/2||
2448.3081|7.e+06|D|31368.453|72212.989|3d6.(3D).4s|b 4D|1/2|3d6.(3D).4p|w 4P*|1/2||
2448.49644|1.97e+08|B+|32909.883|73751.276|3d6.(1I).4s|a 2I|11/2|3d6.(1I).4p|w 2H*|9/2||
2448.7808|1.2e+07|D+|64286.354|105123.005|3d6.(3F2).4p|z 2F*|7/2|3d6.(3H).4d|2G|7/2||
2448.8269|3.6e+06|D+|65931.358|106767.226|3d6.(3G).4p|x 4G*|7/2|3d6.(3F2).4d|4F|7/2||
2448.8562|8.e+07|D+|50212.836|91048.225|3d6.(3P1).4s|c 4P|5/2|3d6.(3P1).5p|4P*|3/2||
2449.0535|1.3e+07|D+|67273.833|108105.938|3d6.(3F2).4p|y 2D*|3/2|3d6.(3F2).4d|2P|3/2||
2449.4746|2.0e+06|D|25787.5816|66612.659|3d6.(3P2).4s|b 2P|3/2|3d6.(3G).4p|x 4F*|3/2||
2449.8939|3.5e+07|D+|66612.659|107430.742|3d6.(3G).4p|x 4F*|3/2|3d6.(3F2).4d|2D|3/2||
2449.9232|1.5e+06|D|21307.999|62125.604|3d7|a 2D2|3/2|3d6.(3P2).4p|z 2D*|3/2||
2450.1751|8.e+06|D+|64425.405|105238.815|3d6.(3F2).4p|z 2F*|5/2|3d6.(3P2).4d|2D|5/2||
2450.4493|3.8e+07|D+|64425.405|105234.246|3d6.(3F2).4p|z 2F*|5/2|3d6.(3P2).4d|4P|5/2||
2450.70731|1.24e+08|C+|31364.4554|72169.004|3d6.(3D).4s|b 4D|3/2|3d6.(3D).4p|w 4F*|3/2||
2450.77390|2.5e+08|C+|43620.9842|84424.422|3d6.(5D).4p|z 6P*|3/2|3d6.(5D).4d|6P|3/2||
2450.8805|2.3e+07|D+|42334.8444|83136.508|3d6.(5D).4p|z 6F*|5/2|3d6.(5D).4d|e 6F|7/2||
2450.94723|1.26e+08|C+|31368.453|72169.004|3d6.(3D).4s|b 4D|1/2|3d6.(3D).4p|w 4F*|3/2||
2451.02503|3.4e+08|C+|47389.809|88189.066|3d6.(5D).4p|z 4P*|3/2|3d6.(5D).4d|4P|1/2||
2451.2710|5.0e+06|D+|64425.405|105220.610|3d6.(3F2).4p|z 2F*|5/2|3d6.(3H).4d|4F|7/2||
2451.2710|5.5e+06|D+|66612.659|107407.818|3d6.(3G).4p|x 4F*|3/2|3d6.(3F2).4d|2D|5/2||
2451.5313|1.4e+06|D|65931.358|106722.187|3d6.(3G).4p|x 4G*|7/2|3d6.(3H).4d|4F|9/2||
2451.9591|1.2e+07|D+|25805.3270|66589.042|3d6.(3G).4s|a 4G|9/2|3d6.(3G).4p|y 4H*|9/2||
2452.096|7.e+05|D|20805.7632|61587.205|3d7|a 2H|9/2|3d6.(3H).4p|z 4I*|11/2||
2452.88150|6.9e+07|D+|66078.272|106846.649|3d6.(3G).4p|x 4G*|5/2|3d6.(5D).5d|4F|3/2||
2452.9422|8.e+07|D+|47389.809|88157.176|3d6.(5D).4p|z 4P*|3/2|3d6.(5D).4d|4P|3/2||
2452.999|8.e+05|D|64040.891|104807.215|3d6.(3F2).4p|y 4G*|7/2|3d6.(3H).4d|2G|9/2||
2453.4869|2.8e+06|D|50142.811|90901.130|3d6.(3F1).4s|c 4F|5/2|3d6.(5D).5p|4P*|5/2||
2453.5910|6.e+05|D|63948.803|104705.411|3d6.(3F2).4p|y 4G*|9/2|3d6.(5D).5d|6D|7/2||
2453.6650|4.9e+06|D+|31483.1979|72238.564|3d6.(3D).4s|b 4D|7/2|3d6.(3D).4p|w 4F*|5/2||
2453.89746|2.21e+08|C+|43238.6066|83990.106|3d6.(5D).4p|z 6P*|5/2|3d6.(5D).4d|6D|3/2||
2454.4901|2.2e+07|D+|42237.0575|82978.717|3d6.(5D).4p|z 6F*|7/2|3d6.(5D).4d|e 6F|9/2||
2454.54030|1.6e+07|D+|21581.6151|62322.445|3d6.(3H).4s|a 4H|9/2|3d6.(3H).4p|z 2G*|7/2||
2454.6584|1.3e+07|D+|42114.8380|82853.704|3d6.(5D).4p|z 6F*|9/2|3d6.(5D).4d|e 6F|11/2||
2454.71856|1.31e+08|C+|44446.9051|85184.773|3d6.(5D).4p|z 4D*|7/2|3d6.(5D).4d|e 4G|9/2||
2454.9099|8.e+06|D+|25787.5816|66522.310|3d6.(3P2).4s|b 2P|3/2|3d6.(3G).4p|x 4F*|5/2||
2454.9555|1.5e+06|D|65363.607|106097.530|3d6.(3H).4p|z 2H*|11/2|3d6.(3F2).4d|2H|9/2||
2455.32092|1.16e+08|C+|32875.6409|73603.537|3d6.(1I).4s|a 2I|13/2|3d6.(1I).4p|w 2H*|11/2||
2455.3302|8.e+06|D+|21430.3564|62158.126|3d6.(3H).4s|a 4H|11/2|3d6.(3F2).4p|y 4F*|9/2||
2456.204|2.6e+06|D|50187.822|90901.130|3d6.(3F1).4s|c 4F|7/2|3d6.(5D).5p|4P*|5/2||
2456.43431|4.1e+07|D+|66012.775|106722.187|3d6.(3G).4p|x 4F*|9/2|3d6.(3H).4d|4F|9/2||
2456.45392|1.01e+08|C+|44753.8179|85462.907|3d6.(5D).4p|z 4F*|7/2|3d6.(5D).4d|e 4G|7/2||
2456.5477|1.0e+07|D+|64286.354|104993.879|3d6.(3F2).4p|z 2F*|7/2|3d6.(3F2).4d|4D|7/2||
2456.64127|1.73e+08|C+|43620.9842|84326.967|3d6.(5D).4p|z 6P*|3/2|3d6.(5D).4d|6P|5/2||
2456.8612|1.1e+06|D|64425.405|105127.773|3d6.(3F2).4p|z 2F*|5/2|3d6.(5D).5d|4D|5/2||
2457.1484|1.3e+07|D+|64425.405|105123.005|3d6.(3F2).4p|z 2F*|5/2|3d6.(3H).4d|2G|7/2||
2457.3855|1.5e+07|D+|32909.883|73603.537|3d6.(1I).4s|a 2I|11/2|3d6.(1I).4p|w 2H*|11/2||
2457.5646|1.3e+07|D+|25981.6451|66672.336|3d6.(3G).4s|a 4G|7/2|3d6.(3G).4p|y 4H*|7/2||
2457.7094|2.2e+07|D+|50212.836|90901.130|3d6.(3P1).4s|c 4P|5/2|3d6.(5D).5p|4P*|5/2||
2457.84530|4.7e+07|D+|50212.836|90898.878|3d6.(3P1).4s|c 4P|5/2|3d6.(5D).5p|4D*|3/2||
2457.931|5.1e+06|D+|45044.1916|85728.846|3d6.(5D).4p|z 4D*|3/2|3d6.(5D).4d|4S|3/2||
2457.975|3.5e+06|D|64834.069|105518.142|3d6.(3P2).4p|z 2P*|3/2|3d6.(3F2).4d|4F|3/2||
2458.08331|8.9e+07|C+|65363.607|106045.712|3d6.(3H).4p|z 2H*|11/2|3d6.(3H).4d|2H|11/2||
2458.2943|3.3e+06|D|31364.4554|72043.060|3d6.(3D).4s|b 4D|3/2|3d6.(3D).4p|w 4P*|3/2||
2458.32297|1.11e+08|C+|44784.7859|85462.907|3d6.(5D).4p|z 4D*|5/2|3d6.(5D).4d|e 4G|7/2||
2458.535|9.e+06|D+|31368.453|72043.060|3d6.(3D).4s|b 4D|1/2|3d6.(3D).4p|w 4P*|3/2||
2459.1027|2.1e+07|D+|67516.328|108181.564|3d6.(3G).4p|y 2H*|11/2|3d6.(3G).4d|4G|11/2||
2459.52760|2.31e+08|B+|25805.3270|66463.542|3d6.(3G).4s|a 4G|9/2|3d6.(3G).4p|y 4H*|11/2||
2459.71687|2.5e+08|C+|31387.9788|72043.060|3d6.(3D).4s|b 4D|5/2|3d6.(3D).4p|w 4P*|3/2||
2459.71687|5.8e+06|D+|65363.607|106018.682|3d6.(3H).4p|z 2H*|11/2|3d6.(3H).4d|2H|9/2||
2459.7979|7.3e+06|D+|64806.494|105460.233|3d6.(3P2).4p|z 2P*|1/2|3d6.(3F2).4d|4D|3/2||
2459.8574|5.9e+06|D+|21430.3564|62083.118|3d6.(3H).4s|a 4H|11/2|3d6.(3H).4p|z 2G*|9/2||
2460.0245|1.6e+07|D+|42658.2444|83308.241|3d6.(5D).4p|z 6P*|7/2|3d6.(5D).4d|e 6F|5/2||
2460.7640|9.e+05|D|50142.811|90780.623|3d6.(3F1).4s|c 4F|5/2|3d6.(5D).5p|4F*|7/2||
2460.8987|6.7e+07|D+|45044.1916|85679.755|3d6.(5D).4p|z 4D*|3/2|3d6.(5D).4d|e 4G|5/2||
2461.18453|5.39e+08|C+|44232.5398|84863.382|3d6.(5D).4p|z 4F*|9/2|3d6.(5D).4d|e 4G|11/2||
2461.2243|6.2e+06|D+|64286.354|104916.552|3d6.(3F2).4p|z 2F*|7/2|3d6.(3F2).4d|4F|9/2||
2461.3948|1.3e+08|D+|38214.503|78841.872|3d6.(1D2).4s|c 2D|3/2|3d6.(1D2).4p|w 2P*|1/2||
2462.02789|2.34e+08|B+|26055.4120|66672.336|3d6.(3G).4s|a 4G|5/2|3d6.(3G).4p|y 4H*|7/2||
2462.41469|9.e+06|D+|21711.8963|62322.445|3d6.(3H).4s|a 4H|7/2|3d6.(3H).4p|z 2G*|7/2||
2462.60549|2.43e+08|B+|25981.6451|66589.042|3d6.(3G).4s|a 4G|7/2|3d6.(3G).4p|y 4H*|9/2||
2463.06316|9.1e+07|C+|45079.9019|85679.755|3d6.(5D).4p|z 4F*|5/2|3d6.(5D).4d|e 4G|5/2||
2463.1748|1.1e+07|D+|66248.647|106846.649|3d6.(3P2).4p|z 2S*|1/2|3d6.(5D).5d|4F|3/2||
2463.4924|3.4e+06|D+|50187.822|90780.623|3d6.(3F1).4s|c 4F|7/2|3d6.(5D).5p|4F*|7/2||
2464.02628|7.1e+07|C+|25428.7893|66012.775|3d6.(3G).4s|a 4G|11/2|3d6.(3G).4p|x 4F*|9/2||
2464.2374|7.e+05|D|38858.9696|79439.496|3d6.(5D).4p|z 6D*|5/2|3d6.(5D).5s|e 4D|7/2||
2464.4622|4.0e+06|D+|68000.785|108577.597|3d6.(3G).4p|y 2H*|9/2|3d6.(3G).4d|4H|9/2||
2464.6479|6.8e+07|C+|43238.6066|83812.352|3d6.(5D).4p|z 6P*|5/2|3d6.(5D).4d|6D|5/2||
2464.75479|1.32e+08|C+|25805.3270|66377.315|3d6.(3G).4s|a 4G|9/2|3d6.(3G).4p|x 4F*|7/2||
2464.9666|9.e+06|D+|64425.405|104993.879|3d6.(3F2).4p|z 2F*|5/2|3d6.(3F2).4d|4D|7/2||
2465.061|8.e+05|D|64831.951|105398.876|3d6.(3F2).4p|y 2G*|9/2|3d6.(3F2).4d|4H|11/2||
2465.2741|6.e+06|D|66612.659|107176.093|3d6.(3G).4p|x 4F*|3/2|3d6.(5D).5d|4P|1/2||
2465.3037|8.e+07|D+|47626.110|88189.066|3d6.(5D).4p|z 4P*|1/2|3d6.(5D).4d|4P|1/2||
2465.65062|2.22e+08|C+|26055.4120|66612.659|3d6.(3G).4s|a 4G|5/2|3d6.(3G).4p|x 4F*|3/2||
2465.94548|1.34e+08|C+|22409.8178|62962.215|3d6.(3P2).4s|b 4P|1/2|3d6.(3P2).4p|y 4D*|3/2||
2466.384|4.9e+06|D+|64834.069|105379.425|3d6.(3P2).4p|z 2P*|3/2|3d6.(3F2).4d|4D|5/2||
2466.4755|4.9e+06|D+|66522.310|107065.951|3d6.(3G).4p|x 4F*|5/2|3d6.(5D).5d|4P|3/2||
2466.62282|5.5e+07|C+|65556.271|106097.530|3d6.(3H).4p|z 2H*|9/2|3d6.(3F2).4d|2H|9/2||
2466.65904|1.62e+08|C+|25981.6451|66522.310|3d6.(3G).4s|a 4G|7/2|3d6.(3G).4p|x 4F*|5/2||
2466.9832|1.1e+06|D|63876.325|104411.671|3d6.(3F2).4p|y 4G*|11/2|3d6.(5D).5d|6D|9/2||
2467.24363|2.4e+08|C+|47626.110|88157.176|3d6.(5D).4p|z 4P*|1/2|3d6.(5D).4d|4P|3/2||
2467.41694|2.6e+08|C+|23031.2829|63559.498|3d6.(3F2).4s|b 4F|3/2|3d6.(3F2).4p|x 4D*|1/2||
2467.51268|1.97e+08|C+|38164.220|78690.860|3d6.(1D2).4s|c 2D|5/2|3d6.(1D2).4p|w 2D*|5/2||
2467.56505|1.77e+08|C+|22939.3512|63465.134|3d6.(3F2).4s|b 4F|5/2|3d6.(3F2).4p|x 4D*|3/2||
2467.7309|2.6e+07|D+|66377.315|106900.373|3d6.(3G).4p|x 4F*|7/2|3d6.(3F2).4d|2G|7/2||
2467.8644|1.3e+07|D+|64286.354|104807.215|3d6.(3F2).4p|z 2F*|7/2|3d6.(3H).4d|2G|9/2||
2468.4891|1.7e+08|D+|43620.9842|84131.624|3d6.(5D).4p|z 6P*|3/2|3d6.(5D).4d|6D|1/2||
2468.9388|5.4e+06|D+|33466.4943|73969.761|3d6.(1G2).4s|c 2G|9/2|3d6.(1I).4p|y 2I*|11/2||
2469.0029|2.6e+06|D|20830.5534|61332.753|3d6.(3P2).4s|b 4P|5/2|3d6.(3P2).4p|y 4P*|3/2||
2469.04218|1.0e+07|D+|21581.6151|62083.118|3d6.(3H).4s|a 4H|9/2|3d6.(3H).4p|z 2G*|9/2||
2469.310|7.e+05|D|20340.2461|60837.560|3d7|a 2H|11/2|3d6.(3H).4p|z 4H*|13/2||
2470.1180|2.2e+06|C+|21581.6151|62065.528|3d6.(3H).4s|a 4H|9/2|3d6.(3F2).4p|y 4F*|7/2||
2470.2311|8.e+06|D+|64806.494|105288.559|3d6.(3P2).4p|z 2P*|1/2|3d6.(5D).5d|6G|3/2||
2470.26093|2.58e+08|B+|31483.1979|71964.750|3d6.(3D).4s|b 4D|7/2|3d6.(3D).4p|w 4P*|5/2||
2470.4618|2.7e+07|D+|42658.2444|83136.508|3d6.(5D).4p|z 6P*|7/2|3d6.(5D).4d|e 6F|7/2||
2470.5781|6.4e+07|D+|38214.503|78690.860|3d6.(1D2).4s|c 2D|3/2|3d6.(1D2).4p|w 2D*|5/2||
2471.15553|6.0e+07|D+|26055.4120|66522.310|3d6.(3G).4s|a 4G|5/2|3d6.(3G).4p|x 4F*|5/2||
2471.242|1.4e+06|D|65580.065|106045.712|3d6.(3G).4p|x 4G*|11/2|3d6.(3H).4d|2H|11/2||
2471.41594|1.54e+08|C+|22810.3459|63272.981|3d6.(3F2).4s|b 4F|7/2|3d6.(3F2).4p|x 4D*|5/2||
2471.51173|9.e+07|D+|25787.5816|66248.647|3d6.(3P2).4s|b 2P|3/2|3d6.(3P2).4p|z 2S*|1/2||
2471.5930|5.4e+05|D+|21711.8963|62171.624|3d6.(3H).4s|a 4H|7/2|3d5.(6S).4s.4p.(3P*)|y 6P*|7/2||
2471.62579|3.28e+08|B+|69606.567|110065.766|3d6.(3G).4p|y 2F*|7/2|3d6.(3G).4d|2D|5/2||
2471.9133|2.6e+06|D|64834.069|105288.559|3d6.(3P2).4p|z 2P*|3/2|3d6.(5D).5d|6G|3/2||
2471.9876|7.3e+06|D+|66612.659|107065.951|3d6.(3G).4p|x 4F*|3/2|3d6.(5D).5d|4P|3/2||
2472.0226|4.15e+07|C+|44232.5398|84685.245|3d6.(5D).4p|z 4F*|9/2|3d6.(5D).4d|f 4D|7/2||
2472.0226|2.3e+06|D|64286.354|104739.057|3d6.(3F2).4p|z 2F*|7/2|3d6.(3F2).4d|4P|5/2||
2472.127|5.e+06|D|36126.412|76577.436|3d6.(3D).4s|b 2D|3/2|3d6.(1S2).4p|x 2P*|1/2||
2472.420|9.e+05|D|21711.8963|62158.126|3d6.(3H).4s|a 4H|7/2|3d6.(3F2).4p|y 4F*|9/2||
2472.8200|9.e+06|D+|21711.8963|62151.554|3d6.(3H).4s|a 4H|7/2|3d6.(3F2).4p|y 4F*|5/2||
2472.873|6.e+05|D|65580.065|106018.682|3d6.(3G).4p|x 4G*|11/2|3d6.(3H).4d|2H|9/2||
2473.17527|8.e+07|D+|23031.2829|63465.134|3d6.(3F2).4s|b 4F|3/2|3d6.(3F2).4p|x 4D*|3/2||
2473.2797|8.e+06|D+|63948.803|104380.941|3d6.(3F2).4p|y 4G*|9/2|3d6.(5D).5d|6F|7/2||
2473.35240|3.22e+08|C+|44753.8179|85184.773|3d6.(5D).4p|z 4F*|7/2|3d6.(5D).4d|e 4G|9/2||
2473.3981|4.3e+07|D+|67000.530|107430.742|3d6.(3F2).4p|y 2D*|5/2|3d6.(3F2).4d|2D|3/2||
2473.77821|1.08e+08|C+|44446.9051|84870.911|3d6.(5D).4p|z 4D*|7/2|3d6.(5D).4d|f 4D|5/2||
2474.06843|2.7e+08|C+|22409.8178|62829.071|3d6.(3P2).4s|b 4P|1/2|3d6.(3P2).4p|y 4D*|1/2||
2474.2067|3.4e+07|D+|50212.836|90629.811|3d6.(3P1).4s|c 4P|5/2|3d6.(3P1).4p|4S*|3/2||
2474.4533|1.4e+07|D+|62689.874|103102.849|3d6.(3P2).4p|y 4D*|5/2|3d6.(3P2).4d|4D|7/2||
2474.80106|2.15e+08|C+|67000.530|107407.818|3d6.(3F2).4p|y 2D*|5/2|3d6.(3F2).4d|2D|5/2||
2474.9568|3.7e+07|D+|64834.069|105238.815|3d6.(3P2).4p|z 2P*|3/2|3d6.(3P2).4d|2D|5/2||
2475.1420|1.0e+07|D+|69606.567|110008.310|3d6.(3G).4p|y 2F*|7/2|3d6.(3G).4d|2H|9/2||
2475.2366|1.26e+08|C+|64834.069|105234.246|3d6.(3P2).4p|z 2P*|3/2|3d6.(3P2).4d|4P|5/2||
2475.2674|5.3e+07|C+|65363.607|105763.286|3d6.(3H).4p|z 2H*|11/2|3d6.(3F2).4d|2H|11/2||
2475.4802|3.8e+06|D|64834.069|105230.291|3d6.(3P2).4p|z 2P*|3/2|3d6.(5D).5d|4D|3/2||
2475.51279|9.7e+07|C+|25981.6451|66377.315|3d6.(3G).4s|a 4G|7/2|3d6.(3G).4p|x 4F*|7/2||
2475.8158|6.0e+06|D+|68000.785|108391.507|3d6.(3G).4p|y 2H*|9/2|3d6.(3G).4d|4G|9/2||
2475.86475|3.72e+08|B+|45289.8248|85679.755|3d6.(5D).4p|z 4F*|3/2|3d6.(5D).4d|e 4G|5/2||
2475.86475|2.0e+07|D+|66377.315|106767.226|3d6.(3G).4p|x 4F*|7/2|3d6.(3F2).4d|4F|7/2||
2476.28918|3.18e+08|B+|45079.9019|85462.907|3d6.(5D).4p|z 4F*|5/2|3d6.(5D).4d|e 4G|7/2||
2476.527|1.2e+06|D|64831.951|105211.079|3d6.(3F2).4p|y 2G*|9/2|3d6.(5D).5d|4G|9/2||
2477.01207|1.0e+07|D+|21711.8963|62083.118|3d6.(3H).4s|a 4H|7/2|3d6.(3H).4p|z 2G*|9/2||
2477.1410|8.e+06|D+|43620.9842|83990.106|3d6.(5D).4p|z 6P*|3/2|3d6.(5D).4d|6D|3/2||
2478.09154|1.70e+07|B|21711.8963|62065.528|3d6.(3H).4s|a 4H|7/2|3d6.(3F2).4p|y 4F*|7/2||
2478.1309|2.4e+06|D+|31999.049|72352.046|3d7|b 2F|7/2|3d6.(3D).4p|w 4F*|7/2||
2478.2482|1.1e+06|D|20805.7632|61156.827|3d7|a 2H|9/2|3d6.(3H).4p|z 4H*|7/2||
2478.65505|5.4e+07|D+|66522.310|106866.770|3d6.(3G).4p|x 4F*|5/2|3d6.(3F2).4d|4F|5/2||
2478.8615|3.1e+07|D+|26932.7348|67273.833|3d6.(3P2).4s|b 2P|1/2|3d6.(3F2).4p|y 2D*|3/2||
2478.9261|1.7e+06|D|64040.891|104380.941|3d6.(3F2).4p|y 4G*|7/2|3d6.(5D).5d|6F|7/2||
2478.9592|5.6e+06|D+|21812.0454|62151.554|3d6.(3P2).4s|b 4P|3/2|3d6.(3F2).4p|y 4F*|5/2||
2479.1989|3.1e+06|D+|21251.5833|61587.205|3d6.(3H).4s|a 4H|13/2|3d6.(3H).4p|z 4I*|11/2||
2479.32057|9.1e+07|C+|22939.3512|63272.981|3d6.(3F2).4s|b 4F|5/2|3d6.(3F2).4p|x 4D*|5/2||
2479.8921|1.2e+07|D+|66522.310|106846.649|3d6.(3G).4p|x 4F*|5/2|3d6.(5D).5d|4F|3/2||
2479.9765|3.6e+07|D+|38164.220|78487.144|3d6.(1D2).4s|c 2D|5/2|3d6.(1D2).4p|w 2D*|3/2||
2480.0416|1.9e+06|D|26055.4120|66377.315|3d6.(3G).4s|a 4G|5/2|3d6.(3G).4p|x 4F*|7/2||
2480.1302|9.e+06|D+|42658.2444|82978.717|3d6.(5D).4p|z 6P*|7/2|3d6.(5D).4d|e 6F|9/2||
2480.6007|8.e+06|D+|62689.874|103002.660|3d6.(3P2).4p|y 4D*|5/2|3d6.(3P2).4d|4D|5/2||
2480.90634|1.55e+08|C+|22637.1950|62945.045|3d6.(3F2).4s|b 4F|9/2|3d6.(3F2).4p|x 4D*|7/2||
2481.70056|1.09e+08|C+|69606.567|109901.523|3d6.(3G).4p|y 2F*|7/2|3d6.(3G).4d|2G|7/2||
2481.79851|1.5e+07|D+|26170.1810|66463.542|3d6.(3H).4s|b 2H|11/2|3d6.(3G).4p|y 4H*|11/2||
2482.3275|1.6e+07|D+|33466.4943|73751.276|3d6.(1G2).4s|c 2G|9/2|3d6.(1I).4p|w 2H*|9/2||
2482.4445|6.7e+06|D+|64286.354|104569.226|3d6.(3F2).4p|z 2F*|7/2|3d6.(3P2).4d|4F|5/2||
2482.86643|6.5e+07|C+|21251.5833|61527.610|3d6.(3H).4s|a 4H|13/2|3d6.(3H).4p|z 4I*|13/2||
2482.9688|3.5e+06|D+|66522.310|106796.679|3d6.(3G).4p|x 4F*|5/2|3d6.(5D).5d|4P|5/2||
2483.07530|2.23e+08|C+|38214.503|78487.144|3d6.(1D2).4s|c 2D|3/2|3d6.(1D2).4p|w 2D*|3/2||
2483.40683|1.25e+08|C+|25428.7893|65696.053|3d6.(3G).4s|a 4G|11/2|3d6.(3G).4p|x 4G*|9/2||
2483.4250|2.23e+08|B+|58631.623|98898.591|3d6.(1G1).4s|d 2G|9/2|3d6.(1G1).4p|2F*|7/2||
2483.61635|1.69e+08|C+|44784.7859|85048.655|3d6.(5D).4p|z 4D*|5/2|3d6.(5D).4d|f 4D|3/2||
2483.682|9.e+05|D|20830.5534|61093.406|3d6.(3P2).4s|b 4P|5/2|3d6.(3P2).4p|z 2D*|5/2||
2484.12097|1.51e+08|C+|70314.624|110570.312|3d6.(3G).4p|x 2G*|9/2|3d6.(3G).4d|2F|7/2||
2484.4080|8.4e+07|C+|69650.481|109901.523|3d6.(3G).4p|y 2F*|5/2|3d6.(3G).4d|2G|7/2||
2484.4735|5.4e+07|C+|33501.2957|73751.276|3d6.(1G2).4s|c 2G|7/2|3d6.(1I).4p|w 2H*|9/2||
2484.957|6.e+05|D|1872.5998|42114.8380|3d7|a 4F|9/2|3d6.(5D).4p|z 6F*|9/2||
2484.99426|5.9e+07|C+|26170.1810|66411.712|3d6.(3H).4s|b 2H|11/2|3d6.(3G).4p|y 4H*|13/2||
2485.19203|2.16e+08|C+|44446.9051|84685.245|3d6.(5D).4p|z 4D*|7/2|3d6.(5D).4d|f 4D|7/2||
2485.3198|3.6e+06|D+|26352.7671|66589.042|3d6.(3H).4s|b 2H|9/2|3d6.(3G).4p|y 4H*|9/2||
2485.46062|6.7e+07|D+|66612.659|106846.649|3d6.(3G).4p|x 4F*|3/2|3d6.(5D).5d|4F|3/2||
2485.5612|2.3e+07|D+|58666.199|98898.591|3d6.(1G1).4s|d 2G|7/2|3d6.(1G1).4p|2F*|7/2||
2485.7629|1.3e+06|D|50157.475|90386.533|3d6.(3F1).4s|c 4F|9/2|3d6.(5D).5p|6F*|9/2||
2485.9869|4.1e+06|D+|63948.803|104174.285|3d6.(3F2).4p|y 4G*|9/2|3d6.(3H).4d|4I|11/2||
