obs_wl_vac(A)|Aki(s^-1)|Acc|Ei(cm-1)|Ek(cm-1)|conf_i|term_i|J_i|conf_k|term_k|J_k|Type|
8221.2978|9.5e+06|B+|90638.823|102802.353|3d6.(5D).5p|4D*|5/2|3d6.(5D).6s|4D|5/2||
8223.5742|3.4e+06|C+|78237.709|90397.873|3d6.(5D).5s|e 6D|7/2|3d6.(5D).5p|4D*|7/2||
8229.163|2.3e+06|C+|80178.005|92329.905|3d6.(5D).5s|e 4D|3/2|3d5.(4G).4s.4p.(3P*)|v 4F*|5/2||
8231.2502|1.61e+07|B+|78237.709|90386.533|3d6.(5D).5s|e 6D|7/2|3d6.(5D).5p|6F*|9/2||
8239.4331|1.33e+07|C+|80178.005|92314.764|3d6.(5D).5s|e 4D|3/2|3d6.(5D).5p|4P*|1/2||
8240.181|2.8e+05|D+|79439.496|91575.149|3d6.(5D).5s|e 4D|7/2|3d6.(5D).5p|w 6P*|5/2||
8252.969|1.0e+05|E|98130.136|110247.006|3d6.(3H).5s|e 4H|13/2|3d6.(3H).5p|2I*|11/2||
8256.684|1.1e+05|D+|92300.269|104411.671|3d5.(4D).4s.4p.(3P*)|6F*|9/2|3d6.(5D).5d|6D|9/2||
8261.896|2.5e+05|D+|90898.878|103002.660|3d6.(5D).5p|4D*|3/2|3d6.(3P2).4d|4D|5/2||
8262.119|6.0e+04|D+|92089.043|104192.487|3d5.(4G).4s.4p.(3P*)|x 4H*|7/2|3d6.(3H).4d|4I|9/2||
8263.4174|6.7e+05|D+|90901.130|103002.660|3d6.(5D).5p|4P*|5/2|3d6.(3P2).4d|4D|5/2||
8268.4708|6.3e+06|B+|90300.628|102394.764|3d6.(5D).5p|6F*|7/2|3d6.(5D).6s|4D|7/2||
8282.7884|1.85e+07|C+|90593.511|102666.741|3d6.(5D).5p|6F*|3/2|3d6.(5D).6s|6D|1/2||
8284.8696|1.34e+07|B+|91048.225|103118.421|3d6.(3P1).5p|4P*|3/2|3d6.(5D).6s|4D|3/2||
8286.3328|2.9e+06|C+|78525.442|90593.511|3d6.(5D).5s|e 6D|5/2|3d6.(5D).5p|6F*|3/2||
8287.7767|1.23e+07|C+|91199.776|103265.738|3d6.(5D).5p|4D*|1/2|3d6.(5D).6s|4D|1/2||
8288.9702|1.1e+05|E|97507.414|109571.639|3d6.(3P2).5s|4P|5/2|3d5.(2G2).4s.4p.(3P*)|4H*|7/2||
8289.8668|5.5e+06|B+|78237.709|90300.628|3d6.(5D).5s|e 6D|7/2|3d6.(5D).5p|6F*|7/2||
8290.1558|4.5e+07|B+|77861.650|89924.150|3d6.(5D).5s|e 6D|9/2|3d6.(5D).5p|6F*|11/2||
8294.0438|4.4e+07|B+|91208.892|103265.738|3d6.(5D).5p|4F*|3/2|3d6.(5D).6s|4D|1/2||
8294.7207|2.24e+07|B+|90487.827|102543.689|3d6.(5D).5p|6F*|5/2|3d6.(5D).6s|6D|3/2||
8300.2326|3.24e+07|B+|91070.566|103118.421|3d6.(5D).5p|4F*|5/2|3d6.(5D).6s|4D|3/2||
8300.4485|1.24e+07|B+|80178.005|92225.549|3d6.(5D).5s|e 4D|3/2|3d6.(5D).5p|4P*|3/2||
8303.124|2.3e+04|D|92695.398|104739.057|3d6.(3P1).4p|u 2D*|5/2|3d6.(3F2).4d|4P|5/2||
8310.1255|1.60e+07|B+|90300.628|102334.140|3d6.(5D).5p|6F*|7/2|3d6.(5D).6s|6D|5/2||
8318.2702|2.92e+07|B+|90780.623|102802.353|3d6.(5D).5p|4F*|7/2|3d6.(5D).6s|4D|5/2||
8320.4987|2.01e+07|B+|90648.230|102666.741|3d6.(5D).5p|6F*|1/2|3d6.(5D).6s|6D|1/2||
8327.6219|2.54e+07|B+|90386.533|102394.764|3d6.(5D).5p|6F*|9/2|3d6.(5D).6s|4D|7/2||
8335.4934|1.76e+07|B+|90397.873|102394.764|3d6.(5D).5p|4D*|7/2|3d6.(5D).6s|4D|7/2||
8341.5630|2.06e+07|B+|90042.804|102030.965|3d6.(5D).5p|4F*|9/2|3d6.(5D).6s|6D|7/2||
8355.1240|1.95e+07|B+|80346.060|92314.764|3d6.(5D).5s|e 4D|1/2|3d6.(5D).5p|4P*|1/2||
8358.6825|4.8e+06|B+|90067.357|102030.965|3d6.(3F1).4p|4G*|9/2|3d6.(5D).6s|6D|7/2||
8359.5361|1.60e+07|B+|78525.442|90487.827|3d6.(5D).5s|e 6D|5/2|3d6.(5D).5p|6F*|5/2||
8368.0486|1.34e+07|B+|90593.511|102543.689|3d6.(5D).5p|6F*|3/2|3d6.(5D).6s|6D|3/2||
8368.922|6.e+05|E|97507.414|109456.381|3d6.(3P2).5s|4P|5/2|3d6.(3P2).5p|4P*|3/2||
8377.8285|9.3e+06|B+|90397.873|102334.140|3d6.(5D).5p|4D*|7/2|3d6.(5D).6s|6D|5/2||
8378.916|2.9e+05|D+|92432.098|104366.802|3d5.(4D).4s.4p.(3P*)|6F*|11/2|3d6.(5D).5d|6G|13/2||
8387.5682|7.5e+06|C+|78725.822|90648.230|3d6.(5D).5s|e 6D|3/2|3d6.(5D).5p|6F*|1/2||
8390.2166|5.4e+06|C+|91199.776|103118.421|3d6.(5D).5p|4D*|1/2|3d6.(5D).6s|4D|3/2||
8398.494|2.7e+04|D|90487.827|102394.764|3d6.(5D).5p|6F*|5/2|3d6.(5D).6s|4D|7/2||
8400.9082|9.6e+06|B+|90898.878|102802.353|3d6.(5D).5p|4D*|3/2|3d6.(5D).6s|4D|5/2||
8402.4977|1.18e+07|B+|90901.130|102802.353|3d6.(5D).5p|4P*|5/2|3d6.(5D).6s|4D|5/2||
8404.601|4.2e+04|D+|92166.417|104064.664|3d5.(4G).4s.4p.(3P*)|x 4H*|11/2|3d6.(3H).4d|4I|13/2||
8406.5717|2.0e+06|D+|90648.230|102543.689|3d6.(5D).5p|6F*|1/2|3d6.(5D).6s|6D|3/2||
8417.856|1.2e+06|D+|80346.060|92225.549|3d6.(5D).5s|e 4D|1/2|3d6.(5D).5p|4P*|3/2||
8422.8745|1.03e+07|B+|78525.442|90397.873|3d6.(5D).5s|e 6D|5/2|3d6.(5D).5p|4D*|7/2||
8423.439|1.8e+04|D|98294.909|110166.534|3d6.(3H).5s|e 4H|11/2|3d6.(3F2).5p|4F*|9/2||
8426.2401|2.28e+07|B+|78725.822|90593.511|3d6.(5D).5s|e 6D|3/2|3d6.(5D).5p|6F*|3/2||
8441.4455|9.3e+06|B+|90487.827|102334.140|3d6.(5D).5p|6F*|5/2|3d6.(5D).6s|6D|5/2||
8453.3367|4.8e+06|B+|78237.709|90067.357|3d6.(5D).5s|e 6D|7/2|3d6.(3F1).4p|4G*|9/2||
8470.9177|1.92e+07|B+|78237.709|90042.804|3d6.(5D).5s|e 6D|7/2|3d6.(5D).5p|4F*|9/2||
8471.5616|3.32e+07|B+|78844.031|90648.230|3d6.(5D).5s|e 6D|1/2|3d6.(5D).5p|6F*|1/2||
8472.697|4.7e+04|D|54275.649|66078.272|3d5.4s2|b 4G|5/2|3d6.(3G).4p|x 4G*|5/2||
8473.430|3.5e+06|E|98445.410|110247.006|3d6.(3H).5s|e 4H|9/2|3d6.(3H).5p|2I*|11/2||
8492.4349|1.75e+07|B+|78525.442|90300.628|3d6.(5D).5s|e 6D|5/2|3d6.(5D).5p|6F*|7/2||
8493.0244|2.95e+07|B+|89924.150|101698.519|3d6.(5D).5p|6F*|11/2|3d6.(5D).6s|6D|9/2||
8501.9510|2.27e+07|B+|78725.822|90487.827|3d6.(5D).5s|e 6D|3/2|3d6.(5D).5p|6F*|5/2||
8506.3377|9.3e+06|B+|90638.823|102394.764|3d6.(5D).5p|4D*|5/2|3d6.(5D).6s|4D|7/2||
8507.650|2.6e+04|D|91048.225|102802.353|3d6.(3P1).5p|4P*|3/2|3d6.(5D).6s|4D|5/2||
8511.0147|1.44e+07|B+|78844.031|90593.511|3d6.(5D).5s|e 6D|1/2|3d6.(5D).5p|6F*|3/2||
8517.4471|1.0e+06|D+|90593.511|102334.140|3d6.(5D).5p|6F*|3/2|3d6.(5D).6s|6D|5/2||
8523.853|1.3e+05|D+|91070.566|102802.353|3d6.(5D).5p|4F*|5/2|3d6.(5D).6s|4D|5/2||
8524.9042|6.2e+06|B+|90300.628|102030.965|3d6.(5D).5p|6F*|7/2|3d6.(5D).6s|6D|7/2||
8557.4481|3.7e+06|E|98294.909|109980.635|3d6.(3H).5s|e 4H|11/2|3d5.(2H).4s.4p.(3P*)|4H*|11/2||
8579.480|7.0e+05|D+|90042.804|101698.519|3d6.(5D).5p|4F*|9/2|3d6.(5D).6s|6D|9/2||
8587.7988|3.8e+06|C+|90386.533|102030.965|3d6.(5D).5p|6F*|9/2|3d6.(5D).6s|6D|7/2||
8595.191|1.0e+05|D+|91167.936|102802.353|3d6.(5D).5p|w 6P*|7/2|3d6.(5D).6s|4D|5/2||
8596.9000|2.4e+04|D|98130.136|109762.239|3d6.(3H).5s|e 4H|13/2|3d6.(3H).5p|4I*|11/2||
8597.591|1.9e+05|D+|90067.357|101698.519|3d6.(3F1).4p|4G*|9/2|3d6.(5D).6s|6D|9/2||
8599.3977|1.6e+07|D|98294.909|109923.631|3d6.(3H).5s|e 4H|11/2|3d6.(3H).5p|2I*|13/2||
8654.201|3.5e+05|E|98294.909|109849.987|3d6.(3H).5s|e 4H|11/2|3d5.(2H).4s.4p.(3P*)|4G*|9/2||
8669.099|3.4e+06|E|98445.410|109980.635|3d6.(3H).5s|e 4H|9/2|3d5.(2H).4s.4p.(3P*)|4H*|11/2||
8672.7788|1.2e+07|E|98445.410|109975.739|3d6.(3H).5s|e 4H|9/2|3d6.(3H).5p|4G*|7/2||
8680.9477|3.3e+04|D|60445.279|71964.750|3d5.4s2|c 4D|5/2|3d6.(3D).4p|w 4P*|5/2||
8692.250|1.7e+05|D+|92432.098|103936.602|3d5.(4D).4s.4p.(3P*)|6F*|11/2|3d6.(5D).5d|6F|11/2||
8700.470|2.8e+06|C+|90901.130|102394.764|3d6.(5D).5p|4P*|5/2|3d6.(5D).6s|4D|7/2||
8703.549|9.e+05|E|98130.136|109619.704|3d6.(3H).5s|e 4H|13/2|3d6.(3H).5p|4I*|13/2||
8720.428|2.2e+06|D|98294.909|109762.239|3d6.(3H).5s|e 4H|11/2|3d6.(3H).5p|4I*|11/2||
8724.7599|8.9e+06|B+|79439.496|90901.130|3d6.(5D).5s|e 4D|7/2|3d6.(5D).5p|4P*|5/2||
8724.8559|4.2e+07|B+|98130.136|109591.643|3d6.(3H).5s|e 4H|13/2|3d6.(3H).5p|4I*|15/2||
8735.1443|1.5e+07|E|98568.907|110016.915|3d6.(3H).5s|e 4H|7/2|3d6.(3H).5p|4G*|5/2||
8742.7019|2.8e+07|D+|99068.465|110506.577|3d6.(3P2).5s|2P|3/2|3d6.(3P2).5p|4D*|5/2||
8744.883|5.2e+05|D+|90898.878|102334.140|3d6.(5D).5p|4D*|3/2|3d6.(5D).6s|6D|5/2||
8752.580|5.e+05|E|97507.414|108932.616|3d6.(3P2).5s|4P|5/2|3d6.(3P2).5p|2D*|5/2||
8760.8254|3.1e+07|D+|98114.577|109529.028|3d6.(3P2).5s|4P|3/2|3d6.(3P2).5p|4P*|1/2||
8766.673|1.5e+06|E|98568.907|109975.739|3d6.(3H).5s|e 4H|7/2|3d6.(3H).5p|4G*|7/2||
8768.410|1.9e+06|D|98445.410|109849.987|3d6.(3H).5s|e 4H|9/2|3d5.(2H).4s.4p.(3P*)|4G*|9/2||
8777.982|9.e+05|D+|90638.823|102030.965|3d6.(5D).5p|4D*|5/2|3d6.(5D).6s|6D|7/2||
8811.3522|9.e+04|E|98445.410|109794.406|3d6.(3H).5s|e 4H|9/2|3d5.(2G2).4s.4p.(3P*)|4H*|11/2||
8815.7911|2.6e+07|D|98568.907|109912.188|3d6.(3H).5s|e 4H|7/2|3d6.(3H).5p|4I*|9/2||
8816.9389|3.0e+07|D+|98114.577|109456.381|3d6.(3P2).5s|4P|3/2|3d6.(3P2).5p|4P*|3/2||
8822.421|3.5e+05|D+|91208.892|102543.689|3d6.(5D).5p|4F*|3/2|3d6.(5D).6s|6D|3/2||
8830.1819|2.4e+07|C|98294.909|109619.704|3d6.(3H).5s|e 4H|11/2|3d6.(3H).5p|4I*|13/2||
8831.291|2.6e+05|D+|79885.523|91208.892|3d6.(5D).5s|e 4D|5/2|3d6.(5D).5p|4F*|3/2||
8836.3985|3.1e+07|D|98445.410|109762.239|3d6.(3H).5s|e 4H|9/2|3d6.(3H).5p|4I*|11/2||
8840.1804|1.26e+06|C+|90386.533|101698.519|3d6.(5D).5p|6F*|9/2|3d6.(5D).6s|6D|9/2||
8841.4897|1.9e+04|D|92899.306|104209.618|3d6.(3F1).4p|4D*|5/2|3d6.(3H).4d|2F|5/2||
8849.4684|3.3e+07|E|97507.414|108807.527|3d6.(3P2).5s|4P|5/2|3d6.(3P2).5p|4P*|5/2||
8864.3986|1.1e+07|D|98568.907|109849.987|3d6.(3H).5s|e 4H|7/2|3d5.(2H).4s.4p.(3P*)|4G*|9/2||
8878.176|8.e+05|D+|91070.566|102334.140|3d6.(5D).5p|4F*|5/2|3d6.(5D).6s|6D|5/2||
8888.614|9.e+05|D+|90780.623|102030.965|3d6.(5D).5p|4F*|7/2|3d6.(5D).6s|6D|7/2||
8900.245|1.8e+04|D|62158.126|73393.771|3d6.(3F2).4p|y 4F*|9/2|3d5.4s2|4F|9/2||
8907.224|5.3e+05|D+|91167.936|102394.764|3d6.(5D).5p|w 6P*|7/2|3d6.(5D).6s|4D|7/2||
8929.1082|2.25e+07|B+|79439.496|90638.823|3d6.(5D).5s|e 4D|7/2|3d6.(5D).5p|4D*|5/2||
8940.5120|4.3e+05|D+|79885.523|91070.566|3d6.(5D).5s|e 4D|5/2|3d6.(5D).5p|4F*|5/2||
8955.5950|1.61e+06|C+|91167.936|102334.140|3d6.(5D).5p|w 6P*|7/2|3d6.(5D).6s|6D|5/2||
8958.4025|1.2e+05|D+|79885.523|91048.225|3d6.(5D).5s|e 4D|5/2|3d6.(3P1).5p|4P*|3/2||
8984.8587|8.e+05|D+|90901.130|102030.965|3d6.(5D).5p|4P*|5/2|3d6.(5D).6s|6D|7/2||
8991.381|4.2e+04|D|97507.414|108629.175|3d6.(3P2).5s|4P|5/2|3d5.(4G).4s.4p.(1P*)|4G*|5/2||
8992.868|6.e+04|D|50212.836|61332.753|3d6.(3P1).4s|c 4P|5/2|3d6.(3P2).4p|y 4P*|3/2||
9012.511|1.6e+04|D|99573.244|110668.928|3d6.(3F2).5s|f 4F|9/2|3d6.(3H).5p|2H*|11/2||
9050.311|5.6e+05|D+|92216.391|103265.738|3d6.(3P1).4p|u 2D*|3/2|3d6.(5D).6s|4D|1/2||
9056.102|1.2e+05|D+|93830.961|104873.232|3d5.(4D).4s.4p.(3P*)|6D*|5/2|3d6.(5D).5d|4D|7/2||
9057.8153|1.0e+06|D+|92225.549|103265.738|3d6.(5D).5p|4P*|3/2|3d6.(5D).6s|4D|1/2||
9064.4896|2.5e+05|E|97507.414|108539.473|3d6.(3P2).5s|4P|5/2|3d5.(2F1).4s.4p.(3P*)|4F*|5/2||
9072.9460|1.70e+07|B+|80178.005|91199.776|3d6.(5D).5s|e 4D|3/2|3d6.(5D).5p|4D*|1/2||
9078.0294|1.91e+07|B+|79885.523|90901.130|3d6.(5D).5s|e 4D|5/2|3d6.(5D).5p|4P*|5/2||
9079.8854|2.37e+07|B+|79885.523|90898.878|3d6.(5D).5s|e 4D|5/2|3d6.(5D).5p|4D*|3/2||
9081.6396|2.8e+06|D|97507.414|108518.643|3d6.(3P2).5s|4P|5/2|3d5.(2F1).4s.4p.(3P*)|4F*|7/2||
9088.6514|3.2e+06|D+|98568.907|109571.639|3d6.(3H).5s|e 4H|7/2|3d5.(2G2).4s.4p.(3P*)|4H*|7/2||
9097.6206|1.82e+07|B+|77861.650|88853.535|3d6.(5D).5s|e 6D|9/2|3d6.(5D).5p|6D*|7/2||
9111.685|2.2e+04|D|58631.623|69606.567|3d6.(1G1).4s|d 2G|9/2|3d6.(3G).4p|y 2F*|7/2||
9114.5304|1.6e+04|D|83713.583|94685.083|3d6.(5D).4d|6D|7/2|3d5.(4D).4s.4p.(3P*)|6P*|5/2||
9116.9836|4.1e+06|C+|91575.149|102543.689|3d6.(5D).5p|w 6P*|5/2|3d6.(5D).6s|6D|3/2||
9125.029|1.4e+05|D+|91843.485|102802.353|3d6.(5D).5p|w 6P*|3/2|3d6.(5D).6s|4D|5/2||
9125.4395|2.28e+07|B+|79439.496|90397.873|3d6.(5D).5s|e 4D|7/2|3d6.(5D).5p|4D*|7/2||
9131.6086|8.0e+06|C+|92314.764|103265.738|3d6.(5D).5p|4P*|1/2|3d6.(5D).6s|4D|1/2||
9134.8924|2.13e+07|B+|79439.496|90386.533|3d6.(5D).5s|e 4D|7/2|3d6.(5D).5p|6F*|9/2||
9158.3353|7.7e+06|B+|78525.442|89444.455|3d6.(5D).5s|e 6D|5/2|3d5.(4P).4s.4p.(3P*)|6P*|5/2||
9168.3276|2.2e+06|D+|92358.625|103265.738|3d5.(4G).4s.4p.(3P*)|v 4F*|3/2|3d6.(5D).6s|4D|1/2||
9174.2029|4.0e+06|C+|78725.822|89625.951|3d6.(5D).5s|e 6D|3/2|3d5.(4P).4s.4p.(3P*)|6P*|3/2||
9177.7993|7.e+06|E|99573.244|110469.101|3d6.(3F2).5s|f 4F|9/2|3d6.(3F2).5p|4D*|7/2||
9178.4387|2.98e+07|B+|79885.523|90780.623|3d6.(5D).5s|e 4D|5/2|3d6.(5D).5p|4F*|7/2||
9180.3145|4.8e+06|C+|92225.549|103118.421|3d6.(5D).5p|4P*|3/2|3d6.(5D).6s|4D|3/2||
9180.5784|3.04e+07|B+|80178.005|91070.566|3d6.(5D).5s|e 4D|3/2|3d6.(5D).5p|4F*|5/2||
9182.0110|1.33e+07|B+|78237.709|89128.569|3d6.(5D).5s|e 6D|7/2|3d5.(4P).4s.4p.(3P*)|6P*|7/2||
9183.5400|2.0e+06|E|98114.577|109003.621|3d6.(3P2).5s|4P|3/2|3d5.(2F1).4s.4p.(3P*)|4D*|3/2||
9189.7045|2.30e+07|B+|78237.709|89119.452|3d6.(5D).5s|e 6D|7/2|3d6.(5D).5p|6D*|5/2||
9191.0051|7.e+06|E|99688.355|110568.558|3d6.(3F2).5s|f 4F|7/2|3d6.(3F2).5p|4F*|5/2||
9195.8681|9.e+04|D+|93830.961|104705.411|3d5.(4D).4s.4p.(3P*)|6D*|5/2|3d6.(5D).5d|6D|7/2||
