14  7   9051.95 1.69E-01 2.49E-02
14  8   9399.04 3.42E-02 5.06E-03
14  9   9652.7  5.21E-03 1.16E-03
14 10  18113.91 3.85E-02 7.38E-03
14 11  19670.09 1.80E-02 2.41E-03
14 12  20853.9  6.69E-03 1.77E-03
15  2   7523.29 1.36E-03 3.52E-04
15  3   7686.94 1.04E-01 8.91E-02
15  4   7803.91 5.67E-03 4.52E-03
15  5   7874.25 1.51E-02 1.28E-02
15  7   8891.91 4.57E-01 5.75E-02
15  8   9226.62 2.69E-01 3.59E-02
15  9   9470.93 7.57E-02 1.06E-02
15 10  17484.21 4.28E-02 3.50E-03
15 11  18929.75 1.55E-03 5.47E-04
15 12  20023.65 1.26E-02 1.72E-03
15 13  20713.65 1.13E-02 1.09E-03
15 14 502946.78 4.04E-03 8.91E-04
16  3   7552.42 2.86E-03 8.75E-04
16  4   7665.3  9.74E-02 7.26E-02
16  5   7733.16 3.01E-02 2.26E-02
16  8   9033.5  3.37E-01 3.85E-02
16  9   9267.56 4.47E-01 5.36E-02
16 11  18134.37 5.34E-02 4.42E-03
16 12  19135.84 1.90E-02 1.17E-03
16 13  19765.05 1.13E-03 2.23E-03
16 15 431588.59 1.22E-02 1.72E-03
17  6   7155.16 7.52E-01 3.82E-03
17  7   7452.54 2.47E-01 2.30E-03
18  6   6896.17 5.09E-02 1.68E-03
18  7   7172.   5.28E-01 5.37E-03
18  8   7388.18 4.04E-01 2.21E-03
18  9   7544.01 2.13E-04 6.72E-03
18 17 190529.52 1.62E-02 5.75E-03
19  3   5650.4  5.93E-04 2.33E-02
19  5   5750.96 8.49E-05 3.05E-03
19  7   6275.51 1.55E-02 7.51E-03
19  8   6440.4  1.74E-01 3.64E-02
19  9   6558.5  1.22E-01 2.60E-02
19 10   9607.81 2.96E-03 1.14E-03
19 11  10028.64 1.89E-02 2.29E-02
19 12  10327.54 1.84E-03 2.14E-03
19 13  10508.08 4.04E-03 5.21E-03
19 14  20460.07 3.82E-01 2.23E-02
19 15  21327.69 1.92E-01 1.58E-02
19 16  22436.42 8.71E-02 8.42E-03
20  4   5546.57 8.60E-04 2.48E-02
