# H2 B ^1\Sigma^+_u - X ^1\Sigma^+_g Lyman Transitions
#
# Catalogue of the most accurate and precise laboratory parameters for fitting molecular hydrogen (H_2) absorptions lines.
# Represented are all allowed Lyman H_2 transitions between the lowest 8 rotational levels in the ground and excited states with excited state vibrational quantum numbers up to v'=19.
#
# The first column provides a short-hand notation for the transition: letters denote a Lyman (L) line and the branch, where P, Q and R represent J' - J = -1, 0 and 1, respectively, for J and J' the ground state and excited state levels, respectively; the first integer is the excited state vibrational quantum number and the second is J.
# The second column gives the most precise reported laboratory wavelength and its 1-sigma uncertainty is given in the third column (both are in Angstroms)
#
# The fourth column provides the reference:
# 1 = Bailly, Salumbides, Vervloet, Ubachs (2009, Mol. Phys. 108, 827–846) for the excited state energy levels;
# with ground states from Komasa et al. (2011, J. Chem. Theory Comput. 7, 10, 3105-3115)
#
# 2 = Ubachs, Buning, Eikema, Reinhold (2007, J. Molecular Spectrosc., 241, 155); (a suffix "a" refers to directly measured wavelengths while "b" refers to wavelengths calculated from directly measured
# lines via combination differences); with ground states from Komasa et al. (2011, J. Chem. Theory Comput. 7, 10, 3105-3115)
#
# 3 = Abgrall, Roueff, Launay, Roncin, Subtil (1993, J. Mol. Spectrosc., 157, 512) for the excited state energy levels;
# with ground states from  Dabrowski (1984, Can. J. Phys. 62, 1639-1664)
#
# Note that wavelengths with reference 3 are much less precise than those from references 1 and 2.
#
# The fifth column gives the oscillator strengths which were calculated from the Einstein A coefficients given by Abgrall, Roueff, Launay, Roncin (1994, Canadian J. Phys., 72, 856).
# The sixth column gives the (natural) damping coefficients in seconds^{-1} which were calculated from the total transition probabilities (A_t) in Abgrall, Roueff, Drira (2000, Astron. Astrophys. Suppl., 141, 297).
#
# The final column gives the sensitivity coefficients calculated in Salumbides, Bagdonaite, Abgrall, Roueff, Ubachs (2015, MNRAS 450, 1237) which have estimated uncertainties of typically <5x10^{-4}.
#
#Trans  lambda_lab  	sig_lambda  	Ref  	f    		Gamma   	K
L13P7	979.881658	0.000960	3	5.959e-03	9.264e+08	 0.02421
L13R0	954.413268	0.000010	1	1.416e-02	9.402e+08	 0.04935
L13R1	955.065759	0.000005	1	9.880e-03	9.386e+08	 0.04858
L13R2	956.579914	0.000019	1	9.211e-03	9.365e+08	 0.04691
L13R3	958.946622	0.000007	1	8.967e-03	9.332e+08	 0.04437
L13R4	962.152721	0.000056	1	8.751e-03	9.301e+08	 0.04100
L13R5	966.178907	0.000934	3	8.324e-03	9.264e+08	 0.03680
L13R6	970.996339	0.000943	3	7.114e-03	9.254e+08	 0.03165
L13R7	976.470384	0.000953	3	1.923e-03	9.605e+08	 0.02249
L14P1	947.514033	0.000099	1	3.522e-03	9.031e+08	 0.05013
L14P2	949.352457	0.000100	2b	9.282e-03	9.714e+08	 0.04050
L14P3	952.274161	0.000100	2b	6.578e-04	9.271e+08	 0.04138
L14P4	955.854827	0.000061	2b	1.691e-03	9.066e+08	 0.04039
L14P5	960.265832	0.000922	3	2.244e-03	8.987e+08	 0.03663
L14P6	965.480127	0.000932	3	2.614e-03	8.935e+08	 0.03177
L14P7	971.482047	0.000944	3	2.929e-03	8.881e+08	 0.02612
L14R0	946.169306	0.000099	1	1.340e-03	9.714e+08	 0.04366
L14R1	946.980395	0.000099	1	1.966e-02	9.271e+08	 0.04658
L14R2	948.471250	0.000060	1	1.294e-02	9.066e+08	 0.04755
L14R3	950.818893	0.000904	3	1.092e-02	8.987e+08	 0.04567
L14R4	954.003758	0.000910	3	1.005e-02	8.935e+08	 0.04258
L14R5	958.011597	0.000918	3	9.617e-03	8.881e+08	 0.03858
L14R6	962.820031	0.000927	3	9.358e-03	8.828e+08	 0.03379
L14R7	968.416547	0.000938	3	9.141e-03	8.773e+08	 0.02830
L15P1	939.706716	0.000098	1	2.914e-03	8.679e+08	 0.05187
L15P2	941.599213	0.000098	2b	3.368e-03	8.672e+08	 0.04993
L15P3	944.330363	0.000099	1	3.525e-03	8.661e+08	 0.04712
L15P4	947.887845	0.000061	2b	3.654e-03	8.643e+08	 0.04348
L15P5	952.254967	0.000062	2b	3.878e-03	8.622e+08	 0.03904
L15P6	957.410223	0.000062	2b	4.353e-03	8.605e+08	 0.03383
L15P7	963.320233	0.000928	3	5.581e-03	8.623e+08	 0.02770
L15R0	938.467757	0.000097	1	9.510e-03	8.672e+08	 0.05303
L15R1	939.124308	0.000098	1	6.558e-03	8.661e+08	 0.05224
L15R2	940.626370	0.000060	1	6.028e-03	8.643e+08	 0.05055
L15R3	942.964220	0.000061	1	5.738e-03	8.622e+08	 0.04798
L15R4	946.122710	0.000061	1	5.334e-03	8.605e+08	 0.04453
L15R5	950.073631	0.000903	3	4.368e-03	8.623e+08	 0.04004
L15R6	954.700876	0.000911	3	1.143e-03	9.015e+08	 0.03211
L15R7	960.699881	0.000923	3	1.363e-02	8.698e+08	 0.02696
L16P1	932.266208	0.000096	1	2.398e-03	8.348e+08	 0.05338
L16P2	934.144793	0.000097	2b	2.239e-03	8.356e+08	 0.05128
L16P3	936.857088	0.000097	2b	2.050e-03	8.351e+08	 0.04836
L16P4	940.387539	0.000098	2b	1.993e-03	8.332e+08	 0.04473
L16P5	944.720707	0.000893	3	2.032e-03	8.301e+08	 0.04037
L16P6	949.838732	0.000902	3	2.136e-03	8.266e+08	 0.03530
L16P7	955.728094	0.000913	3	2.306e-03	8.226e+08	 0.02957
L16R0	931.062642	0.000096	1	1.067e-02	8.356e+08	 0.05435
L16R1	931.732882	0.000096	1	7.531e-03	8.351e+08	 0.05344
L16R2	933.240091	0.000096	1	6.886e-03	8.332e+08	 0.05174
L16R3	935.575696	0.000875	3	6.571e-03	8.301e+08	 0.04923
L16R4	938.729060	0.000881	3	6.378e-03	8.266e+08	 0.04590
L16R5	942.688054	0.000889	3	6.238e-03	8.226e+08	 0.04179
L16R6	947.432557	0.000898	3	6.093e-03	8.185e+08	 0.03693
L16R7	952.944369	0.000908	3	5.852e-03	8.146e+08	 0.03137
L17P1	925.174530	0.000095	1	1.967e-03	8.043e+08	 0.05466
L17P2	927.020018	0.000095	2b	2.328e-03	8.038e+08	 0.05274
L17P3	929.689567	0.000096	2b	2.508e-03	8.032e+08	 0.04994
L17P4	933.170352	0.000871	3	2.711e-03	8.023e+08	 0.04629
L17P5	937.442933	0.000879	3	3.083e-03	8.023e+08	 0.04180
L17P6	942.476156	0.000888	3	4.007e-03	8.072e+08	 0.03628
L17P7	948.159475	0.000899	3	7.700e-03	8.573e+08	 0.02729
L17R0	923.984626	0.000094	1	6.167e-03	8.038e+08	 0.05579
L17R1	924.643257	0.000095	1	4.161e-03	8.032e+08	 0.05497
L17R2	926.131733	0.000858	3	3.701e-03	8.023e+08	 0.05324
L17R3	928.437608	0.000862	3	3.303e-03	8.023e+08	 0.05058
