band name vl jl vu ju lambda     f        g 
L  23-0R3  0  3 23  4  892.49568 2.47e-03 2.78e+08 
L  24-0P3  0  3 24  2  888.23625 5.84e-04 2.06e+08 
L  24-0R3  0  3 24  4  887.35349 9.59e-04 2.07e+08 
L  25-0P3  0  3 25  2  883.43312 1.76e-04 2.37e+08 
L  25-0R3  0  3 25  4  882.60428 1.29e-03 2.06e+08 
L  26-0P3  0  3 26  2  878.79594 4.14e-04 1.75e+08 
L  26-0R3  0  3 26  4  877.99118 5.77e-04 1.80e+08 
L  27-0P3  0  3 27  2  874.46481 2.13e-04 1.73e+08 
L  27-0R3  0  3 27  4  873.72521 7.84e-04 1.68e+08 
L  28-0P3  0  3 28  2  870.33823 2.92e-04 1.51e+08 
L  28-0R3  0  3 28  4  869.61165 3.37e-04 1.66e+08 
L  29-0P3  0  3 29  2  866.50112 1.65e-04 1.43e+08 
L  29-0R3  0  3 29  4  865.84539 5.03e-04 1.47e+08 
L  30-0P3  0  3 30  2  862.89794 2.03e-04 1.29e+08 
L  30-0R3  0  3 30  4  862.25732 2.02e-04 1.36e+08 
L  31-0P3  0  3 31  2  859.61491 1.14e-04 1.21e+08 
L  31-0R3  0  3 31  4  859.05443 3.29e-04 1.20e+08 
L  32-0P3  0  3 32  2  856.63407 1.34e-04 1.04e+08 
L  32-0R3  0  3 32  4  856.10677 1.27e-04 1.11e+08 
L  33-0P3  0  3 33  2  854.07337 6.83e-05 8.98e+07 
L  33-0R3  0  3 33  4  853.64394 1.99e-04 8.78e+07 
L  34-0P3  0  3 34  2  852.00023 7.26e-05 6.66e+07 
L  34-0R3  0  3 34  4  851.64831 6.33e-05 7.16e+07 
L  35-0P3  0  3 35  2  850.62758 3.01e-05 3.67e+07 
L  35-0R3  0  3 35  4  850.43010 5.59e-05 3.06e+07 
L  36-0P3  0  3 36  2  850.07442 1.27e-05 1.25e+07 
L  36-0R3  0  3 36  4  849.99638 1.78e-05 8.11e+06 
L  37-0P3  0  3 37  2  849.90247 2.35e-06 1.82e+07 
L  37-0R3  0  3 37  4  849.84685 6.17e-06 5.34e+06 
W  0-0Q3   0  3  0  3 1012.67781 2.38e-02 1.18e+09 
W  1-0Q3   0  3  1  3  989.72585 3.66e-02 1.16e+09 
W  2-0Q3   0  3  2  3  969.04540 3.51e-02 1.14e+09 
W  3-0Q3   0  3  3  3  950.39508 2.75e-02 1.12e+09 
W  4-0Q3   0  3  4  3  933.57580 1.95e-02 1.10e+09 
W  5-0Q3   0  3  5  3  918.42874 1.30e-02 1.09e+09 
W  6-0Q3   0  3  6  3  904.82965 8.54e-03 1.08e+09 
W  7-0Q3   0  3  7  3  892.68450 5.52e-03 1.07e+09 
W  8-0Q3   0  3  8  3  881.92871 3.57e-03 1.01e+09 
W  9-0Q3   0  3  9  3  872.52992 2.31e-03 9.96e+08 
W  10-0Q3  0  3 10  3  864.49581 1.50e-03 6.02e+08 
W  11-0Q3  0  3 11  3  857.88059 9.55e-04 5.91e+08 
W  12-0Q3  0  3 12  3  852.81446 5.77e-04 4.75e+08 
W  0-0P3   0  3  0  2 1014.50221 8.28e-03 1.18e+09 
W  0-0R3   0  3  0  4 1010.12754 1.38e-02 1.17e+09 
W  1-0P3   0  3  1  2  991.37661 1.19e-02 1.16e+09 
W  1-0R3   0  3  1  4  987.44386 2.57e-02 1.13e+09 
W  2-0P3   0  3  2  2  970.55859 9.74e-03 1.13e+09 
W  2-0R3   0  3  2  4  966.77812 7.58e-03 1.03e+09 
W  3-0P3   0  3  3  2  951.66974 1.27e-02 1.03e+09 
W  3-0R3   0  3  3  4  948.41702 1.28e-02 1.10e+09 
W  4-0P3   0  3  4  2  934.78745 7.09e-03 1.10e+09 
W  4-0R3   0  3  4  4  931.80883 1.08e-02 1.08e+09 
W  5-0P3   0  3  5  2  919.54167 4.34e-03 1.08e+09 
W  5-0R3   0  3  5  4  916.87451 8.56e-03 1.04e+09 
W  6-0P3   0  3  6  2  905.85413 2.50e-03 1.06e+09 
W  6-0R3   0  3  6  4  903.65681 6.60e-03 7.00e+08 
W  7-0P3   0  3  7  2  893.68148 6.97e-04 8.91e+08 
W  7-0R3   0  3  7  4  891.29801 2.10e-03 9.95e+08 
W  8-0P3   0  3  8  2  882.70532 1.45e-03 9.73e+08 
W  8-0R3   0  3  8  4  880.73291 1.79e-03 9.77e+08 
W  9-0P3   0  3  9  2  873.23653 8.41e-04 9.80e+08 
W  9-0R3   0  3  9  4  871.49607 1.31e-03 9.14e+08 
W  10-0P3  0  3 10  2  865.11402 5.21e-04 6.33e+08 
W  10-0R3  0  3 10  4  863.61506 9.09e-04 5.90e+08 
