 Malec Catalogue 2010 see vizier.
   89  L      6 P       5  1040.059726  0.000004 1    0.0113034000   1.3e+09   0.01208886
   90  L      6 P       6  1045.804318  0.000005 1    0.0113046000   1.3e+09   0.00687799
   91  L      6 P       7  1063.288800  0.001200 3    0.0113078000   1.3e+09   0.00102254
   92  L      6 R       0  1024.373738  0.000006 1    0.0287085000   1.3e+09   0.02672449
   93  L      6 R       1  1024.987976  0.000003 1    0.0195752000   1.3e+09   0.02608105
   94  L      6 R       2  1026.528323  0.000005 1    0.0179656000   1.3e+09   0.02454448
   95  L      6 R       3  1028.986607  0.000004 1    0.0173884000   1.3e+09   0.02214038
   96  L      6 R       4  1032.350972  0.000008 1    0.0171203000   1.3e+09   0.01890632
   97  L      6 R       5  1036.604730  0.000020 1    0.0169652000   1.3e+09   0.01488993
   98  L      6 R       6  1041.734691  0.000054 1    0.0168443000   1.3e+09   0.01014630
   99  L      7 P       1  1014.327128  0.000006 1    0.0089822200   1.2e+09   0.02953792
  100  L      7 P       2  1016.461136  0.000005 1    0.0102323000   1.2e+09   0.02750099
  101  L      7 P       3  1019.502139  0.000003 1    0.0104758000   1.2e+09   0.02460346
  102  L      7 P       4  1023.436799  0.000005 1    0.0104924000   1.2e+09   0.02088590
  103  L      7 P       5  1028.248570  0.000004 1    0.0104684000   1.2e+09   0.01639930
  104  L      7 P       6  1033.918239  0.000021 1    0.0104606000   1.2e+09   0.01120261
  105  L      7 P       7  1051.071500  0.001200 3    0.0104866000   1.2e+09   0.00535938
  106  L      7 R       0  1012.812914  0.000004 1    0.0297020000   1.2e+09   0.03092982
  107  L      7 R       1  1013.436916  0.000002 1    0.0205043000   1.2e+09   0.03026841
  108  L      7 R       2  1014.976843  0.000005 1    0.0189365000   1.2e+09   0.02871411
  109  L      7 R       3  1017.424212  0.000004 1    0.0183845000   1.2e+09   0.02629246
  110  L      7 R       4  1020.767035  0.000011 1    0.0181358000   1.2e+09   0.02304091
  111  L      7 R       5  1024.990170  0.000011 1    0.0180093000   1.2e+09   0.01900700
  112  L      7 R       6  1030.073600  0.001100 3    0.0179340000   1.2e+09   0.01424573
  113  L      8 P       1  1003.296508  0.000005 1    0.0084659900   1.2e+09   0.03339412
  114  L      8 P       2  1005.393086  0.000005 1    0.0099107100   1.2e+09   0.03137464
  115  L      8 P       3  1008.386075  0.000003 1    0.0104293000   1.2e+09   0.02849467
  116  L      8 P       4  1012.262348  0.000005 1    0.0107544000   1.2e+09   0.02479431
  117  L      8 P       5  1017.004186  0.000005 1    0.0112202000   1.2e+09   0.02029474
  118  L      8 P       6  1022.585960  0.000021 1    0.0125592000   1.2e+09   0.01498634
  119  L      8 P       7  1039.210400  0.001100 3    0.0232550000   1.2e+09  -0.00116452
