H2j2 L17-0R2    926.13130 3.708e-03 3.19e+08 
H2j2 L18-0P2    920.24215 1.683e-03 3.03e+08 
H2j2 L18-0R2    919.41722 4.169e-03 3.09e+08 
H2j2 W5-0P2     917.36698 2.952e-03 1.09e+09 
H2j2 W5-0Q2     916.61389 1.310e-02 1.09e+09 
H2j2 W5-0R2     915.42591 9.093e-03 1.07e+09 
H2j2 L19-0P2    913.76983 1.615e-03 2.74e+08 
H2j2 L19-0R2    912.95062 2.012e-03 2.87e+08 
H2j2 L20-0P2    907.61027 1.186e-03 2.63e+08 
H2j2 L20-0R2    906.85716 2.589e-03 2.68e+08 
H2j2 W6-0P2     903.68131 1.792e-03 1.07e+09 
H2j2 W6-0Q2     902.99438 8.508e-03 1.08e+09 
H2j2 W6-0R2     901.96831 6.967e-03 1.01e+09 
H2j2 L21-0P2    901.72667 1.156e-03 2.54e+08 
H2j2 L21-0R2    900.94270 5.622e-04 3.11e+08 
H2j2 L22-0P2    896.13403 8.090e-04 2.37e+08 
H2j2 L22-0R2    895.44634 1.621e-03 2.38e+08 
H2j2 W7-0P2     891.45620 9.364e-04 1.05e+09 
H2j2 W7-0Q2     890.82439 5.496e-03 1.07e+09 
H2j2 L23-0P2    890.78488 9.636e-04 2.46e+08 
H2j2 L23-0R2    890.28050 3.760e-03 4.22e+08 
H2j2 W7-0R2     889.70932 1.291e-03 8.66e+08 
H2j2 L24-0P2    885.72586 5.568e-04 2.07e+08 
H2j2 L24-0R2    885.09792 1.016e-03 2.06e+08 
H2j2 L25-0P2    880.92726 1.668e-04 2.55e+08 
H2j2 W8-0P2     880.56314 1.067e-03 9.61e+08 
H2j2 L25-0R2    880.34795 1.456e-03 2.22e+08 
H2j2 W8-0Q2     880.03805 3.553e-03 1.02e+09 
H2j2 W8-0R2     879.12505 1.914e-03 9.80e+08 
H2j2 L26-0P2    876.32012 3.855e-04 1.75e+08 
H2j2 L26-0R2    875.74992 6.374e-04 1.75e+08 
H2j2 L27-0P2    871.99277 2.387e-04 1.69e+08 
H2j2 L27-0R2    871.47374 8.289e-04 1.75e+08 
H2j2 W9-0P2     871.08287 5.235e-04 9.89e+08 
H2j2 W9-0Q2     870.60108 2.295e-03 1.00e+09 
H2j2 W9-0R2     869.81262 1.424e-03 9.63e+08 
H2j2 L28-0P2    867.89094 2.656e-04 1.49e+08 
H2j2 L28-0R2    867.37754 3.995e-04 1.57e+08 
H2j2 L29-0P2    864.05592 1.786e-04 1.41e+08 
H2j2 L29-0R2    863.59328 5.244e-04 1.47e+08 
H2j2 W10-0P2    862.93882 3.530e-04 6.55e+08 
H2j2 W10-0Q2    862.51785 1.495e-03 6.33e+08 
H2j2 W10-0R2    861.84266 9.790e-04 6.08e+08 
H2j2 L30-0P2    860.47079 1.825e-04 1.28e+08 
H2j2 L30-0R2    860.01938 2.546e-04 1.34e+08 
H2j2 L31-0P2    857.18486 1.223e-04 1.18e+08 
H2j2 L31-0R2    856.78900 3.405e-04 1.20e+08 
H2j2 W11-0P2    856.19173 2.235e-04 6.20e+08 
H2j2 W11-0Q2    855.83802 9.531e-04 6.19e+08 
H2j2 W11-0R2    855.27601 6.326e-04 5.54e+08 
H2j2 L32-0P2    854.21424 1.195e-04 1.03e+08 
H2j2 L32-0R2    853.84154 1.653e-04 1.05e+08 
H2j2 L33-0P2    851.64113 7.372e-05 8.87e+07 
H2j2 L33-0R2    851.33590 2.130e-04 9.00e+07 
H2j2 W12-0P2    850.95976 1.251e-04 4.09e+08 
H2j2 W12-0Q2    850.68294 5.804e-04 4.39e+08 
H2j2 W12-0R2    850.24947 4.173e-04 4.44e+08 
H2j2 L34-0P2    849.55885 6.492e-05 6.63e+07 
H2j2 L34-0R2    849.30847 8.554e-05 6.76e+07 
H2j2 L35-0P2    848.15448 3.177e-05 3.74e+07 
H2j2 L35-0R2    848.00704 6.550e-05 3.52e+07 
H2j2 L36-0P2    847.57147 2.830e-05 1.51e+07 
H2j2 L36-0R2    847.50898 2.819e-05 1.06e+07 
H2j2 W13-0P2    847.48944 5.298e-05 2.09e+08 
H2j2 L37-0P2    847.38330 1.957e-06 6.11e+06 
H2j2 L37-0R2    847.35027 2.215e-06 6.39e+06 
H2j2 W13-0Q2    847.31380 2.734e-04 2.47e+08 
H2j3 L0-0P3     1115.89495 7.387e-04 1.86e+09 
H2j3 L0-0R3     1112.58269 8.470e-04 1.84e+09 
H2j3 L1-0P3     1099.78504 2.526e-03 1.73e+09 
H2j3 L1-0R3     1096.72284 3.060e-03 1.72e+09 
H2j3 L2-0P3     1084.55788 5.013e-03 1.62e+09 
H2j3 L2-0R3     1081.70847 6.360e-03 1.61e+09 
H2j3 L3-0P3     1070.13802 7.542e-03 1.53e+09 
H2j3 L3-0R3     1067.47556 1.004e-02 1.52e+09 
H2j3 L4-0P3     1056.46845 9.562e-03 1.44e+09 
H2j3 L4-0R3     1053.97290 1.336e-02 1.43e+09 
H2j3 L5-0P3     1043.50007 1.076e-02 1.34e+09 
H2j3 L5-0R3     1041.15563 1.584e-02 1.33e+09 
H2j3 L6-0P3     1031.18957 1.111e-02 1.25e+09 
H2j3 L6-0R3     1028.98337 1.739e-02 1.18e+09 
H2j3 L7-0P3     1019.49914 1.047e-02 9.86e+08 
H2j3 L7-0R3     1017.42099 1.838e-02 9.93e+08 
H2j3 W0-0P3     1014.50221 8.277e-03 1.18e+09 
H2j3 W0-0Q3     1012.67781 2.383e-02 1.18e+09 
H2j3 W0-0R3     1010.12754 1.381e-02 1.17e+09 
H2j3 L8-0P3     1008.38330 1.043e-02 7.83e+08 
H2j3 L8-0R3     1006.41124 1.572e-02 7.04e+08 
H2j3 L9-0P3     997.82414 8.764e-03 6.58e+08 
H2j3 L9-0R3     995.96971 1.669e-02 6.38e+08 
H2j3 W1-0P3     991.37661 1.189e-02 1.16e+09 
H2j3 W1-0Q3     989.72585 3.657e-02 1.16e+09 
H2j3 L10-0P3    987.76690 8.933e-03 6.32e+08 
H2j3 W1-0R3     987.44386 2.575e-02 1.13e+09 
H2j3 L10-0R3    985.96129 8.282e-03 6.38e+08 
H2j3 L11-0P3    978.21649 6.732e-03 6.02e+08 
H2j3 L11-0R3    976.55048 1.290e-02 5.33e+08 
H2j3 W2-0P3     970.55859 9.744e-03 1.13e+09 
H2j3 L12-0P3    969.08841 8.156e-03 4.83e+08 
H2j3 W2-0Q3     969.04540 3.505e-02 1.14e+09 
H2j3 L12-0R3    967.67332 2.274e-02 5.64e+08 
H2j3 W2-0R3     966.77812 7.585e-03 1.03e+09 
H2j3 L13-0P3    960.44909 4.929e-03 4.63e+08 
H2j3 L13-0R3    958.94507 8.969e-03 4.46e+08 
H2j3 L14-0P3    952.27248 6.574e-04 5.11e+08 
H2j3 W3-0P3     951.66974 1.270e-02 1.03e+09 
H2j3 L14-0R3    950.81745 1.093e-02 4.21e+08 
H2j3 W3-0Q3     950.39508 2.749e-02 1.12e+09 
H2j3 W3-0R3     948.41702 1.280e-02 1.10e+09 
H2j3 L15-0P3    944.32933 3.524e-03 3.83e+08 
H2j3 L15-0R3    942.96335 5.742e-03 3.82e+08 
H2j3 L16-0P3    936.85626 2.049e-03 3.79e+08 
H2j3 L16-0R3    935.57482 6.580e-03 3.58e+08 
H2j3 W4-0P3     934.78745 7.093e-03 1.10e+09 
H2j3 W4-0Q3     933.57580 1.947e-02 1.10e+09 
